"beta1" "lambda1" "beta2" "lambda2" "beta3" "lambda3" "sumQfunc" "diffB_beta1" "diffB_beta3" "bp" "iter" "Beta1 at 1" "Q1" "Q2" "Q3" "pi1" "pi2" "pi3"
"1.38620309761411" "0.00312877435769519" "1" "0.0722666034955529" "1.80237942609749" "0.00254350978033959" "-275.119960063855" "7.7875483839307e-12" "2.41226807418116e-08" "bp" "1" "9.80820865841477" "-161.779437991713" "-35.2638436453116" "-32.9881259256823" "0.640016239181942" "0.194430776985167" "0.165552983832892"
"2.1534060867446" "0.00011749470114846" "1" "0.116299210313699" "1.35510262457677" "0.0110029621158079" "-261.053484451323" "7.25989849570396e-07" "1.43689860010454e-09" "bp" "2" "21.1341411765976" "-163.980789564651" "-35.1448297912559" "-20.6124992834457" "0.678376928877773" "0.223029269899355" "0.0985938012228725"
"3.30704392011984" "7.58769579546492e-07" "1" "0.177555903850678" "1.082429429586" "0.0288545460635371" "-243.676461952762" "2.89927385210831e-07" "2.10640394016082e-11" "bp" "3" "27.1321039364443" "-150.564541906045" "-35.5345551988362" "-16.4753144508415" "0.661849467231453" "0.260472412856593" "0.0776781199119538"
"4.07694965277148" "2.53048228532082e-08" "1" "0.174080988997927" "1.14751402878381" "0.026161715719426" "-238.359024477855" "6.3664629124105e-12" "4.8286707965417e-11" "bp" "4" "28.0038917788124" "-140.150391384277" "-38.1869335378436" "-17.4215303252644" "0.637397982984474" "0.277901552252946" "0.0847004647625804"
"4.84588245075525" "8.35720565330849e-10" "1" "0.160698210699868" "1.31400140629954" "0.0161200511105368" "-235.748730048362" "2.27916575568088e-06" "2.33082211309465e-08" "bp" "5" "27.9661954337806" "-130.520334437852" "-40.728628975698" "-20.0402077802484" "0.612032100575019" "0.288015261499995" "0.0999526379249866"
"5.5184684677992" "4.21616319550107e-11" "1" "0.155148301837" "1.52959480320062" "0.0077783574705928" "-233.884100949048" "2.4703157919248e-07" "5.91428630514201e-08" "bp" "6" "27.6791416726256" "-123.180004658265" "-41.7664314148675" "-22.9565522225878" "0.592195531213934" "0.291728805558067" "0.116075663227999"
"6.01129218957859" "4.70544267561232e-12" "1" "0.15822775870843" "1.78224660056029" "0.00308354971566518" "-232.568978854428" "9.63514423801826e-09" "8.14491691869534e-08" "bp" "7" "27.2752866865929" "-118.04835095945" "-41.2592977550321" "-26.0413087787786" "0.577039990158698" "0.290178365287662" "0.132781644553639"
"6.41815800428246" "7.68162057959673e-13" "1" "0.169067382001673" "2.0163816341365" "0.00125706368686349" "-231.204929116792" "1.12767395421542e-09" "2.30112462418219e-08" "bp" "8" "26.8504018239777" "-113.948459860667" "-39.6137202650706" "-29.3504626347054" "0.564159170756695" "0.285251630909934" "0.150589198333371"
"6.81116788538355" "1.33261269345888e-13" "1" "0.185730806271219" "2.16720389008912" "0.000679716650030726" "-229.856523148818" "5.27151655660418e-10" "5.44254419310164e-10" "bp" "9" "26.4076244056997" "-110.175412430514" "-37.2991479287619" "-33.1213095266592" "0.551917274466186" "0.277993266731084" "0.17008945880273"
"7.22975342655891" "2.06143458140897e-14" "1" "0.206642494907936" "2.22535318361116" "0.00051232485191234" "-228.677543507787" "4.82557993564114e-10" "1.61299880119259e-06" "bp" "10" "25.9268477316616" "-106.388933007948" "-34.6672834622762" "-37.4822247374989" "0.53936213403156" "0.269076013537408" "0.191561852431033"
"7.69764139793145" "2.55904031624184e-15" "1" "0.232303233702563" "2.22103506884432" "0.000486759110326239" "-227.599533216336" "6.48739728603687e-10" "5.61612978344783e-11" "bp" "11" "25.4043410965076" "-102.470925048684" "-31.8512167643937" "-42.3721212894421" "0.526222153584375" "0.258983331414536" "0.214794515001089"
"8.2232743766513" "2.4561878765387e-16" "1" "0.26494319745989" "2.18165025019555" "0.000529343438058499" "-226.500643929923" "8.94104346116364e-10" "4.98640694956975e-07" "bp" "12" "24.8525211899074" "-98.457730383389" "-28.8881995286767" "-47.6295401826902" "0.512711034437918" "0.248154843983428" "0.239134121578655"
"8.79862389697022" "1.88941907722346e-17" "1" "0.307340092752651" "2.12157036830982" "0.000625523763890403" "-225.352075608972" "1.02730268736195e-09" "9.87654402706539e-13" "bp" "13" "24.2890421952188" "-94.4683916349848" "-25.8328621135058" "-53.073783512667" "0.499228205820168" "0.23702044186597" "0.263751352313862"
