"time" "event1" "event2" "event3" "event4" "event5"
"1" 0.1 0 1 1 1 1
"2" 0.2 1 0 1 1 1
"3" 1 1 1 0 1 1
"4" 1 1 1 1 0 1
"5" 1 1 1 1 1 0
"6" 1 0 1 1 1 1
"7" 1 1 0 1 1 1
"8" 2 1 1 0 1 1
"9" 3 1 1 1 0 1
"10" 6 1 1 1 1 0
"11" 7 0 1 1 1 1
"12" 11 1 0 1 1 1
"13" 12 1 1 0 1 1
"14" 18 1 1 1 0 1
"15" 18 1 1 1 1 0
"16" 18 0 1 1 1 1
"17" 18 1 0 1 1 1
"18" 18 1 1 0 1 1
"19" 21 1 1 1 0 1
"20" 32 1 1 1 1 0
"21" 36 0 1 1 1 1
"22" 40 1 0 1 1 1
"23" 45 1 1 0 1 1
"24" 46 1 1 1 0 1
"25" 47 1 1 1 1 0
"26" 50 0 1 1 1 1
"27" 55 1 0 1 1 1
"28" 60 1 1 0 1 1
"29" 63 1 1 1 0 1
"30" 63 1 1 1 1 0
"31" 67 0 1 1 1 1
"32" 67 1 0 1 1 1
"33" 67 1 1 0 1 1
"34" 67 1 1 1 0 1
"35" 72 1 1 1 1 0
"36" 75 0 1 1 1 1
"37" 79 1 0 1 1 1
"38" 82 1 1 0 1 1
"39" 82 1 1 1 0 1
"40" 83 1 1 1 1 0
"41" 84 0 1 1 1 1
"42" 84 1 0 1 1 1
"43" 84 1 1 0 1 1
"44" 85 1 1 1 0 1
"45" 85 1 1 1 1 0
"46" 85 0 1 1 1 1
"47" 85 1 0 1 1 1
"48" 85 1 1 0 1 1
"49" 86 1 1 1 0 1
"50" 86 1 1 1 1 0
