"filename" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"FRT_censord" 0.862350746295632 1.00000364213672 0.00937824404347975 0.0039992157799047 0.00399912559159722 7.45266054735794e-06 -0.335161257280518 -1.77635683940025e-14 -2.1538326677728e-14 0.3254193712323 0.337290187096625 0.337290441671075 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.66 -175.52006771064 -46.8627507612053 -47.8515893460218 -47.851603552032 100 1638400 1638400
"FRT_censord" 0.862350746295632 1.00000364213672 0.00937824404347975 0.0039992157799047 0.00399912559159722 7.45266054735794e-06 -0.335161257280518 -1.77635683940025e-14 -2.1538326677728e-14 0.3254193712323 0.337290187096625 0.337290441671075 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.663433333333333 -175.52006771064 -46.8627507612053 -47.8515893460218 -47.851603552032 200 1638400 1638400
"FRT_censord" 0.861054541842557 1.00000498946158 0.00946084293863481 0.00399585189757512 0.00399572825064759 9.82373254743152e-06 -0.326208377216801 -5.61772850460329e-14 1.18571819029967e-13 0.325246904179163 0.337376369622129 0.337376726198708 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.666866666666667 -175.516112751516 -46.8490470525657 -47.856554531035 -47.8565745304302 300 1228800 1228800
"FRT_censord" 0.860399928857499 1.00000379505692 0.00950288499262769 0.0039941426295084 0.00399404854559821 7.32552354776317e-06 -0.321655700752842 -2.44249065417534e-14 -2.75779399316889e-13 0.325159571038875 0.337420077880846 0.337420351080279 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.6703 -175.514082505077 -46.8421146362035 -47.8590562051299 -47.8590714788321 400 1638400 1638400
"FRT_censord" 0.859737796241964 1.00000616012125 0.00954562259617918 0.00399241658175783 0.00399226380857806 1.1653024024838e-05 -0.317059603675162 8.79296635503124e-14 -1.96065386148803e-13 0.325071173360229 0.3374641899487 0.337464636691071 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.673733333333333 -175.512010447641 -46.8350981511392 -47.8615729506563 -47.8615978511076 500 1024000 1024000
"FRT_censord" 0.859072613737578 1.00000520986722 0.00958879229831873 0.00399067117655987 0.00399054192146996 9.65461273239043e-06 -0.312407993864326 4.9737991503207e-14 1.49880108324396e-13 0.324982160893797 0.337508729243918 0.337509109862285 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.677166666666667 -175.509904011004 -46.8280386563977 -47.8641015825552 -47.8641227335069 600 1228800 1228800
"FRT_censord" 0.858402010707414 1.00000453383322 0.00963254418383062 0.00398890749111191 0.00398879496656224 8.22722786608665e-06 -0.30770635488696 2.97539770599542e-14 -5.79536418854332e-14 0.324892287149472 0.337553689573102 0.337554023277426 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.6806 -175.507758187689 -46.8209136355461 -47.8666437748343 -47.8666622662895 700 1433600 1433600
"FRT_censord" 0.857726033565379 1.00000402933701 0.00967688264420754 0.00398712531810895 0.00398702527808812 7.156741247627e-06 -0.302953931417221 -7.37188088351104e-14 3.05977465586693e-13 0.324801549492748 0.337599075852548 0.337599374654704 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.684033333333333 -175.505572317745 -46.8137227480781 -47.8691995899516 -47.8692161025272 800 1638400 1638400
"FRT_censord" 0.857044699519204 1.00000363934016 0.00972181394728497 0.00398532446463399 0.00398523407492356 6.32419099133585e-06 -0.298150047286498 4.77395900588817e-14 2.89324120217316e-13 0.324709943783726 0.337644892145257 0.337645164071016 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.687466666666667 -175.503345678887 -46.8064655886349 -47.8717690008844 -47.8717839894967 900 1843200 1843200
"FRT_censord" 0.856355880201245 1.0000066591739 0.00976747857856959 0.00398350598363142 0.00398334053384459 1.13162113137832e-05 -0.293298929702253 -1.00586206031039e-13 8.77076189453874e-14 0.3246172401474 0.337691129236615 0.337691630615985 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.6909 -175.501073115426 -46.7991212277363 -47.8743532217236 -47.8743807920077 1000 1024000 1024000
"FRT_censord" 0.855664003158429 1.0000061568371 0.00981360812819192 0.00398166713942805 0.00398151411687126 1.02265345489627e-05 -0.288389755905278 4.08562073062058e-14 -2.12940776123105e-13 0.32452389592945 0.337737818481734 0.337738285588815 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.694333333333333 -175.498762884817 -46.7917311381751 -47.8769497080842 -47.8769753334365 1100 1126400 1126400
"FRT_censord" 0.854966731472194 1.00000574259252 0.00986035553959866 0.00397980908892237 0.00397966631287346 9.31855691987948e-06 -0.283427355580933 1.15241149956091e-13 4.27435864480685e-13 0.324429659135011 0.337784950901547 0.337785389963442 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.697766666666667 -175.496409475387 -46.7842722719849 -47.8795599521224 -47.879583987621 1200 1228800 1228800
"FRT_censord" 0.854264062491506 1.00000539635899 0.00990772888478099 0.00397793165411239 0.00397779744086799 8.55035180080677e-06 -0.278411116140639 -1.03028696685215e-13 1.85185200507476e-13 0.324334522860822 0.337832530658268 0.33783294648091 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.7012 -175.494012068938 -46.7767439225747 -47.8821839607022 -47.8822066792567 1300 1331200 1331200
