time	event	DegreesC	Current
5.5486	1	110	40
6.2801	1	110	40
6.2645	1	110	40
6.3142	1	110	40
6.4106	1	110	40
5.4502	1	110	40
6.0423	1	110	40
6.1239	1	110	40
6.4809	1	110	40
5.9984	1	110	40
5.8361	1	110	40
5.8492	1	110	40
5.5361	1	110	40
6.0865	1	110	40
6.2222	1	110	40
6.0402	1	110	40
5.8285	1	110	40
5.2414	1	110	40
6.0604	1	110	40
7.119	1	110	40
7.8992	1	110	40
7.243	1	110	40
6.2469	1	110	40
7.1937	1	110	40
6.261	1	110	40
7.0448	1	110	40
6.0686	1	110	40
6.1193	1	110	40
5.5292	1	110	40
6.7142	1	110	40
