"time","event","DegreesC","Current"
10,0,61,30
10,0,61,30
10,0,61,30
10,0,61,30
10,0,61,30
10,0,61,30
10,0,61,30
10,0,61,30
10,0,61,30
10,0,61,30
10,0,61,30
10,0,61,30
10,0,61,30
9.9284,1,61,30
9.6026,1,61,30
9.1576,1,61,30
9.2411,1,61,30
9.2875,1,61,30
9.7825,1,61,30
9.1924,1,61,30
9.0825,1,61,30
9.7221,1,61,30
9.2779,1,61,30
8.8783,1,61,30
9.0827,1,61,30
9.4933,1,61,30
9.2943,1,61,30
9.8167,1,61,30
8.5591,1,61,30
8.7126,1,61,30
9.1659,1,77,40
8.7076,1,77,40
7.7831,1,77,40
8.7104,1,77,40
8.1969,1,77,40
7.1733,1,77,40
9.5415,1,77,40
8.1535,1,77,40
9.229,1,77,40
9.1356,1,77,40
9.1298,1,77,40
7.9364,1,77,40
7.0475,1,77,40
7.8759,1,77,40
8.2893,1,77,40
8.2246,1,77,40
8.081,1,77,40
7.2679,1,77,40
7.2622,1,77,40
7.8318,1,77,40
10,0,77,40
8.6036,1,77,40
8.3027,1,77,40
8.2316,1,77,40
6.8816,1,77,40
7.93,1,77,40
9.033,1,77,40
7.8919,1,77,40
7.4041,1,77,40
6.7652,1,77,40
7.8539,1,94,30
6.9093,1,94,30
7.4005,1,94,30
8.3751,1,94,30
8.4404,1,94,30
6.3178,1,94,30
7.9263,1,94,30
7.2869,1,94,30
7.6961,1,94,30
7.2476,1,94,30
7.6631,1,94,30
7.1425,1,94,30
7.7944,1,94,30
10,0,94,30
10,0,94,30
7.5353,1,94,30
7.7688,1,94,30
7.8596,1,94,30
7.2853,1,94,30
7.3723,1,94,30
8.0974,1,94,30
9.1005,1,94,30
8.2582,1,94,30
7.7097,1,94,30
7.8891,1,94,30
9.147,1,94,30
8.8801,1,94,30
8.7206,1,94,30
8.0593,1,94,30
7.9486,1,94,30
5.5486,1,110,40
6.2801,1,110,40
6.2645,1,110,40
6.3142,1,110,40
6.4106,1,110,40
5.4502,1,110,40
6.0423,1,110,40
6.1239,1,110,40
6.4809,1,110,40
5.9984,1,110,40
5.8361,1,110,40
5.8492,1,110,40
5.5361,1,110,40
6.0865,1,110,40
6.2222,1,110,40
6.0402,1,110,40
5.8285,1,110,40
5.2414,1,110,40
6.0604,1,110,40
7.119,1,110,40
7.8992,1,110,40
7.243,1,110,40
6.2469,1,110,40
7.1937,1,110,40
6.261,1,110,40
7.0448,1,110,40
6.0686,1,110,40
6.1193,1,110,40
5.5292,1,110,40
6.7142,1,110,40
6.5313,1,114,30
8.6682,1,114,30
7.6698,1,114,30
7.672,1,114,30
7.1587,1,114,30
5.1584,1,114,30
6.7638,1,114,30
7.4136,1,114,30
7.2649,1,114,30
7.3587,1,114,30
8.0124,1,114,30
6.294,1,114,30
6.9981,1,114,30
7.4821,1,114,30
7.2857,1,114,30
7.3733,1,114,30
8.7472,1,114,30
6.5175,1,114,30
6.7202,1,114,30
7.6527,1,114,30
10,0,114,30
7.4295,1,114,30
7.8822,1,114,30
7.941,1,114,30
6.4261,1,114,30
8.0123,1,114,30
6.8571,1,114,30
7.1155,1,114,30
7.7902,1,114,30
7.3715,1,114,30
4.8347,1,130,40
4.7785,1,130,40
3.7792,1,130,40
4.1502,1,130,40
4.2714,1,130,40
3.1983,1,130,40
4.148,1,130,40
3.9958,1,130,40
4.4549,1,130,40
4.7368,1,130,40
4.1334,1,130,40
3.5969,1,130,40
3.7621,1,130,40
3.9114,1,130,40
3.6467,1,130,40
5.4284,1,130,40
4.5918,1,130,40
3.9739,1,130,40
3.0785,1,130,40
3.3997,1,130,40
4.6884,1,130,40
4.9178,1,130,40
4.6953,1,130,40
4.9063,1,130,40
3.7388,1,130,40
3.8368,1,130,40
4.1953,1,130,40
4.6905,1,130,40
4.3414,1,130,40
5.9211,1,130,40
