"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"FRT_censord" 1 0.911365563911433 3.99230243006019 0.0195958948306173 0.0103004588722825 9.87188266368401e-11 0.101850420975467 -0.00334190819052793 0 1.52587890625e-05 0.456149752136835 3.23475667416698e-07 0.543849924387497 0.5 1 2 0.25 0.5 0.25 6173 1 -148.270504663772 -70.9439009895403 -5.16140116628392e-05 -56.6475068321991 100 100 100
"FRT_censord" 2 0.911852003289233 3.99142893904505 0.0195559741695424 0.0103026504648622 9.92125558747945e-11 0.0912282459176552 -0.00297588578417418 -4.54747350886464e-13 -1.52587890625e-05 0.456095530022676 2.46581913412426e-07 0.54390422339541 0.5 1 2 0.25 0.5 0.25 122 1 -148.26800162246 -70.9344140903121 -3.93436156625135e-05 -56.6548225580335 112.332403297803 112.332403297803 112.332403297803
"FRT_censord" 3 0.912291253997956 3.99065908795191 0.0195200024129557 0.0103046546531132 9.96497155991358e-11 0.0816671882972955 -0.00264986036523851 0 -1.52587890625e-05 0.456046855271409 1.87989996219666e-07 0.543952956738595 0.5 1 2 0.25 0.5 0.25 118 1 -148.265726185842 -70.9259054538184 -2.99941191882183e-05 -56.6613482595412 126.185688306602 126.185688306602 126.185688306602
"FRT_censord" 4 0.912687381215776 3.98998006257472 0.0194876242682798 0.0103064827091104 1.00036869674981e-10 0.0730696409711769 -0.00235948138873709 2.27373675443232e-13 0 0.45600318987875 1.42872040071953e-07 0.54399666724921 0.5 1 2 0.25 0.5 0.25 116 1 -148.263661422564 -70.9182786581873 -2.27949214631662e-05 -56.6671688249751 141.747416292681 141.747416292681 141.747416292681
"FRT_censord" 5 0.913044190840584 3.98938070964888 0.0194585102286839 0.0103081461579655 1.00379823715965e-10 0.065345534364134 -0.00210086705287438 -2.27373675443232e-13 1.52587890625e-05 0.455964042832889 1.0836015288508e-07 0.544035848806958 0.5 1 2 0.25 0.5 0.25 114 1 -148.261791312683 -70.9114460274817 -1.72882484825219e-05 -56.6723599870425 159.228279334109 159.228279334109 159.228279334109
"FRT_censord" 6 0.913365230083961 3.98885131110723 0.0194323557375752 0.0103096565451123 1.00683708078107e-10 0.0584119877377773 -0.00187055480523668 0 0 0.455928967648255 8.1890223576593e-08 0.544070950461522 0.5 1 2 0.25 0.5 0.25 113 1 -148.260100256137 -70.9053280783988 -1.30648651567578e-05 -56.6769893651975 178.864952905744 178.864952905744 178.864952905744
"FRT_censord" 7 0.913653791105501 3.98838339499135 0.0194088802107889 0.0103110252541308 1.0095305076218e-10 0.0521929406743737 -0.00166545683940456 0 1.52587890625e-05 0.455897558363594 6.18680743970266e-08 0.544102379768331 0.5 1 2 0.25 0.5 0.25 111 1 -148.258573557756 -70.8998527533243 -9.87033351878976e-06 -56.6811173031484 200.923300256505 200.923300256505 200.923300256505
"FRT_censord" 8 0.913912917582207 3.9879695625408 0.01938782594662 0.010312263352203 1.01191849573696e-10 0.0466187709564565 -0.00148282014402668 0 -1.52587890625e-05 0.455869446738703 4.66416675176527e-08 0.54413050661963 0.5 1 2 0.25 0.5 0.25 110 1 -148.257197079143 -70.8949548452947 -7.44101936235269e-06 -56.684797737624 225.701971963392 225.701971963392 225.701971963392
"FRT_censord" 9 0.914145413359119 3.98760335047869 0.019368956916014 0.0103133814851555 1.0140363037238e-10 0.0416259028979979 -0.00132019066671774 0 1.52587890625e-05 0.455844298970897 3.51082127448543e-08 0.54415566592089 0.5 1 2 0.25 0.5 0.25 109 1 -148.255957616957 -70.8905753833367 -5.60094015521803e-06 -56.6880788143548 253.536449397011 253.536449397011 253.536449397011
"FRT_censord" 10 0.914353852910757 3.98727910371251 0.0193520575161175 0.0103143897925688 1.01591504379675e-10 0.0371564134128164 -0.00117538121207161 0 0 0.455821812843693 2.63995199932884e-08 0.544178160756787 0.5 1 2 0.25 0.5 0.25 108 1 -148.254842813997 -70.8866610833269 -4.21155741189263e-06 -56.6910035504015 284.80358684358 284.80358684358 284.80358684358
