"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"V1" "Aarest_data" 1 0.922757906117475 1.00973593772378 0.0304380676275367 0.0217957522822003 0.020894669782887 0.118626009374495 -1.02712242629221 0 0 0.333457480972593 0.333294904368529 0.333247614658877 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 16 0.2 -295.967038286583 -80.1589245788283 -80.4247299738114 -80.4527711182295 100 100 100
"V11" "Aarest_data" 2 0.922435264528575 1.00889345360035 0.0304923452149489 0.0217899057147232 0.0209639916535321 0.105119889903762 -1.00097793890319 0 1.13686837721616e-13 0.33346262531651 0.333290928354191 0.333246446329299 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 14 0.208080808070707 -295.964343022694 -80.150871419956 -80.4282413084027 -80.4546178156187 112.332403297803 112.332403297803 112.332403297803
"V12" "Aarest_data" 3 0.92201700503145 1.00812178967609 0.0305594062747868 0.0217838432813662 0.021027129957966 0.0930274259410595 -0.975749102056639 0 0 0.333467861991039 0.333286951183531 0.333245186825431 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 14 0.216161616141414 -295.961652598107 -80.1424028123676 -80.4319185906719 -80.4567188629684 126.185688306602 126.185688306602 126.185688306602
"V13" "Aarest_data" 4 0.921505593908156 1.00741605169178 0.0306390709654186 0.0217775543352957 0.0210844334319901 0.0822207630398566 -0.951288179197661 0 0 0.333473190242416 0.333282977908076 0.333243831849508 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 15 0.224242424212121 -295.958945811369 -80.1334800331223 -80.4357713192584 -80.4590822834013 141.747416292681 141.747416292681 141.747416292681
"V14" "Aarest_data" 5 0.920903279991456 1.00677154093217 0.030731199103901 0.0217710274858578 0.021136244344749 0.0725804420894463 -0.927453810677164 0 1.13686837721616e-13 0.33347860658836 0.333279013721517 0.333242379690123 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 15 0.232323232282828 -295.95620243657 -80.1240642551845 -80.4398096111644 -80.4617165612167 159.228279334109 159.228279334109 159.228279334109
"V15" "Aarest_data" 6 0.920212069588966 1.00618376638267 0.030835693337454 0.0217642505526348 0.0211828960221627 0.063995308884671 -0.904110835898024 -1.13686837721616e-13 1.13686837721616e-13 0.333484104565706 0.333275064234834 0.33324083119946 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 16 0.240404040353535 -295.95340297045 -80.114116110231 -80.4440443051291 -80.4646307227938 178.864952905744 178.864952905744 178.864952905744
"V16" "Aarest_data" 7 0.919433708065846 1.00564845480105 0.0309525016816791 0.0217572105399293 0.0212247106670397 0.0563623671340991 -0.881130103740148 0 0 0.333489674492602 0.333271135740303 0.333239189767095 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 16 0.248484848424242 -295.950528403157 -80.103595297619 -80.4484870469172 -80.467834413068 200.923300256505 200.923300256505 200.923300256505
"V17" "Aarest_data" 8 0.918569658913675 1.00516155942604 0.0310816207642214 0.0217498935803928 0.0212619973516149 0.0495865662411035 -0.858388152082895 0 0 0.333495303149544 0.333267235509965 0.33323746134049 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 17 0.25656565649495 -295.947559989043 -80.0924601055919 -80.4531504068043 -80.4713380276044 225.701971963392 225.701971963392 225.701971963392
"V18" "Aarest_data" 9 0.917621090744165 1.00471926577122 0.0312230982726492 0.0217422849031729 0.0212950503944853 0.0435805382520726 -0.835766886318325 0 1.13686837721616e-13 0.333500973453003 0.333263372078922 0.333235654468075 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 17 0.264646464565657 -295.944479036771 -80.0806669851645 -80.4580479749237 -80.4751528334409 253.536449397011 253.536449397011 253.536449397011
"V19" "Aarest_data" 10 0.916588861886437 1.00431799569126 0.0313770361103377 0.0217343687706515 0.0213241479475528 0.038264282297007 -0.813153135331262 1.13686837721616e-13 1.13686837721616e-13 0.333506664021749 0.333259555576013 0.333233780402237 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 18 0.272727272636364 -295.941266693238 -80.0681700314132 -80.463194492439 -80.4792911405043 284.80358684358 284.80358684358 284.80358684358
