"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"V1" "FRT_censord" 1 0.858224140475 1.02183642994435 0.00956832194939297 0.0040323749586175 0.00352896550251501 0.0588819019415965 -0.457950316305663 6.57252030578093e-14 -3.70814490224802e-14 0.325481128673346 0.336609528658069 0.337909342668584 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 42 0.6 -175.530514480866 -46.8502347115011 -47.8271605592914 -47.8989666091246 100 100 100
"V11" "FRT_censord" 2 0.859667399481036 1.01863939862834 0.00948702589519193 0.00402977407227017 0.00359585183814865 0.0495032781009428 -0.445410061088353 -7.97140131680862e-14 3.01536573488193e-13 0.32557693616371 0.336648375217017 0.337774688619273 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 25 0.604040404030303 -175.531373182615 -46.8603950712855 -47.8269775453118 -47.8897370624998 120.450354025878 120.450354025878 120.450354025878
"V12" "FRT_censord" 3 0.86082971776219 1.01588202304743 0.00942265603266255 0.004027292119327 0.00365439547007329 0.0415195247058833 -0.433988295552687 -9.39248678832882e-14 1.783018177548e-13 0.325649218957958 0.336688752430234 0.337662028611808 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 0.608080808060606 -175.531851151723 -46.8683414188559 -47.8272856992605 -47.881877603804 145.082877849594 145.082877849594 145.082877849594
"V13" "FRT_censord" 4 0.86173985052529 1.01351068749004 0.00937324137478182 0.00402490879879125 0.00370532367256696 0.0347479276777349 -0.423543780720507 4.81836792687318e-14 1.98507876802978e-13 0.325700166087558 0.336730435044412 0.33756939886803 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 0.612121212090909 -175.531993937515 -46.8742860219557 -47.8280063254327 -47.8752967625712 174.752840000768 174.752840000768 174.752840000768
"V14" "FRT_censord" 5 0.862425179438625 1.01147689694369 0.00933699902313043 0.00402260669027763 0.00374936912102263 0.0290238919978236 -0.413945527733844 -1.44551037806195e-13 -3.13082892944294e-14 0.325731891938125 0.336773244156527 0.337494863905348 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 0.616161616121212 -175.531840894361 -46.8784332098514 -47.8290738347272 -47.8698921335511 210.490414451202 210.490414451202 210.490414451202
"V15" "FRT_censord" 6 0.862911390429069 1.00973701125572 0.00931232506103789 0.00402037082406193 0.00378725031327721 0.0242004043224497 -0.405073585684434 -3.28626015289046e-14 -4.32986979603811e-14 0.325746405124247 0.33681703760907 0.337436557266683 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 0.620202020151515 -175.531426004013 -46.880976357733 -47.83043342185 -47.86555649634 253.536449397011 253.536449397011 253.536449397011
"V16" "FRT_censord" 7 0.863222244359161 1.0082519883353 0.00929778531388897 0.00401818832196932 0.00381965600618435 0.0201472537763081 -0.39681941246473 -3.64153152077051e-14 -4.04121180963557e-14 0.325745585358517 0.336861703688988 0.337392710952496 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 0.624242424181818 -175.530778584115 -46.8820957566328 -47.8320393657262 -47.8621823126992 305.385550883342 305.385550883342 305.385550883342
"V17" "FRT_censord" 8 0.863379439811124 1.0069871163319 0.00929210551274422 0.00401604809572965 0.00384723373999887 0.0167500464992756 -0.389085870853499 1.11022302462516e-15 -3.38618022510673e-13 0.325731167798621 0.336907155487862 0.337361676713517 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 0.628282828212121 -175.52992390037 -46.881957242979 -47.8338535497451 -47.8596651502973 367.837977182864 367.837977182864 367.837977182864
"V18" "FRT_censord" 9 0.863402561707592 1.00591172634292 0.00929416062822813 0.00401394059270026 0.00387058221715649 0.0139090492838321 -0.381786907700182 1.28341781646668e-13 9.41469124882133e-14 0.325704734522749 0.33695332615277 0.337341939324481 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 0.632323232242424 -175.528883697776 -46.880711526564 -47.8358442128194 -47.8579060989423 443.062145758388 443.062145758388 443.062145758388
"V19" "FRT_censord" 10 0.863309102329266 1.00499888623553 0.0093029635011683 0.00401185757997274 0.00389024706775797 0.011537922876272 -0.37484698485963 -7.32747196252603e-14 1.63868918434673e-13 0.325667712166318 0.337000164934448 0.337332122899234 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 0.636363636272727 -175.527676661599 -46.8784941029216 -47.8379848989172 -47.8568133367292 533.669923120631 533.669923120631 533.669923120631
"V110" "FRT_censord" 11 0.863114539329289 1.00422508076984 0.00931765301356302 0.00400979195961866 0.00390671942519004 0.00956240364280347 -0.368200332419249 -1.23678844943242e-13 -8.92619311798626e-14 0.325621374579893 0.337047633943386 0.337330991476721 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 0.64040404030303 -175.526318817735 -46.8754256288421 -47.8402535767691 -47.856303005414 642.807311728433 642.807311728433 642.807311728433
"V111" "FRT_censord" 12 0.862832455167334 1.00356988672846 0.00933748210174683 0.00400773761040652 0.00392043667445755 0.00791898274118807 -0.361790094692182 1.46549439250521e-14 -2.39808173319034e-14 0.325566849315817 0.337095705491378 0.337337445192805 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 0.644444444333333 -175.524823880641 -46.8716126430161 -47.8426319021249 -47.8562995487799 774.263682681127 774.263682681127 774.263682681127
"V112" "FRT_censord" 13 0.862474683490941 1.00301565089175 0.00936180591783201 0.00400568925119458 0.00393178479369352 0.00655362664263492 -0.355567424910248 1.08357767203415e-13 3.530509218308e-14 0.325505126802699 0.337144359947289 0.337350513250012 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 0.648484848363636 -175.52320355608 -46.8671485210058 -47.8451046019271 -47.8567356525086 932.603346883221 932.603346883221 932.603346883221
"V113" "FRT_censord" 14 0.862051469893169 1.00254717907636 0.00939007042234158 0.00400364232303506 0.00394110174984061 0.00542057036171428 -0.349490577067684 3.66373598126302e-14 2.23598917159507e-13 0.325437071179024 0.337193584015149 0.337369344805826 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 0.652525252393939 -175.52146780435 -46.8621145683163 -47.8476589607614 -47.8575519069247 1123.32403297803 1123.32403297803 1123.32403297803
"V114" "FRT_censord" 15 0.861571637080305 1.00215144251531 0.00942180162575153 0.00400159288744653 0.00394868150795561 0.0044812042939455 -0.343524030118516 -4.52970994047064e-14 -1.51878509768721e-13 0.325363431943194 0.337243369357738 0.337393198699068 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 0.656565656424242 -175.519625068991 -46.8565811740695 -47.8502843929831 -47.8586962914851 1353.04777457981 1353.04777457981 1353.04777457981
"V115" "FRT_censord" 16 0.861042747227294 1.00181730532676 0.00945659561697499 0.00399953753788358 0.00395477832506922 0.00370306620213512 -0.337637665416928 -3.77475828372553e-14 8.88178419700125e-15 0.325284856303933 0.337293711054141 0.337421432641926 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 25 0.660606060454545 -175.517682475942 -46.8506090427608 -47.8529720212664 -47.8601235469518 1629.75083462065 1629.75083462065 1629.75083462065
"V116" "FRT_censord" 17 0.860471256471272 1.00153527594506 0.0094941094572089 0.00399747332562922 0.00395961107144052 0.00305894234885784 -0.331806020358577 7.39408534400354e-14 1.03472785895065e-13 0.325201898737565 0.33734460853432 0.337453492728114 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 25 0.664646464484848 -175.51564600573 -46.8442500231928 -47.8557146393154 -47.8617945440264 1963.04065004027 1963.04065004027 1963.04065004027
