"data_Name" "Iter" "beta1" "lambda1" "lambda2" "diffBeta1" "diffBeta2" "diffLambda1" "pi1" "pi2" "init_beta1" "init_beta2" "init_pi1" "init_pi2" "EM_endIter" "tempering" "Q1" "Q2" "bpBase" "bp1"
"V1" "LFP" 1 0.192989098249296 0.00203753868006187 4.02430575981876e-06 -3.94250049708944e-05 -45.7685980606505 2.72182276717103e-12 0.466099243621698 0.53390075637829 0.5 1 0.5 0.5 12 0.1 -165.854069025918 -163.353311581823 1e+05 1e+05
"V11" "LFP" 2 0.192486426573612 0.00207925019705071 3.94632111804769e-06 -3.52240355141475e-05 -44.7915617635335 3.49942297361849e-13 0.463667035740532 0.536332964259479 0.5 1 0.5 0.5 10 0.109090909080808 -167.297179755383 -161.168947276526 112332.403297803 112332.403297803
"V12" "LFP" 3 0.192009570878295 0.0021208947220343 3.86931606738659e-06 -3.14649962405156e-05 -43.8116963831179 2.95186097787337e-12 0.461357638886717 0.538642361113265 0.5 1 0.5 0.5 10 0.118181818161616 -168.762259679449 -158.953513152733 126185.688306602 126185.688306602
"V13" "LFP" 4 0.191558564321051 0.0021623938149673 3.79328323209205e-06 -2.81019989074593e-05 -42.8299161528579 4.96713781217295e-12 0.459174228048403 0.540825771951615 0.5 1 0.5 0.5 10 0.127272727242424 -170.24890412605 -156.708313904491 141747.416292681 141747.416292681
"V14" "LFP" 5 0.191133392743644 0.00220366658225407 3.71821576840271e-06 -2.50938400938594e-05 -41.8471436152206 9.32143251475281e-13 0.457119931829929 0.542880068170092 0.5 1 0.5 0.5 10 0.136363636323232 -171.756684836906 -154.434707736043 159228.279334109 159228.279334109
"V15" "LFP" 6 0.190733995200944 0.00224463000073033 3.6441072853689e-06 -2.24035888578555e-05 -40.8643049191015 3.40572015034013e-12 0.455197837089148 0.54480216291084 0.5 1 0.5 0.5 11 0.14545454540404 -173.285152584324 -152.134099888066 178864.952905743 178864.952905743
"V16" "LFP" 7 0.19036026477447 0.00228519926373949 3.57095176680135e-06 -1.99980522097576e-05 -39.8823251719509 1.15862874849881e-12 0.453410994083533 0.546589005916455 0.5 1 0.5 0.5 11 0.154545454484848 -174.833839725786 -149.807936112703 200923.300256505 200923.300256505
"V17" "LFP" 8 0.19001204970076 0.0023252881422844 3.49874349236941e-06 -1.78475934404787e-05 -38.9021237246687 -3.85291798465914e-12 0.451762423959986 0.548237576040023 0.5 1 0.5 0.5 11 0.163636363565657 -176.402263190431 -147.457695551677 225701.971963392 225701.971963392
"V18" "LFP" 9 0.189689154749676 0.0023648093609648 3.42747696251456e-06 -1.59254986442647e-05 -37.9246096649047 -6.07291994469961e-12 0.450255126438914 0.549744873561071 0.5 1 0.5 0.5 12 0.172727272646465 -177.989927242013 -145.08488385317 253536.449397011 253536.449397011
"V19" "LFP" 10 0.189391342852629 0.00240367498332644 3.35714682685868e-06 -1.42078009446323e-05 -36.9506774833243 7.16982029302926e-12 0.448892088565327 0.551107911434682 0.5 1 0.5 0.5 12 0.181818181727273 -179.59632624334 -142.691026303521 284803.58684358 284803.58684358
"V110" "LFP" 11 0.189118336979676 0.00244179680033675 3.2877478153404e-06 -1.26731101346422e-05 -35.9812028844556 -2.15694129224175e-12 0.447676295374731 0.55232370462527 0.5 1 0.5 0.5 12 0.190909090808081 -181.220947631947 -140.277660772191 319926.713779738 319926.713779738
"V111" "LFP" 12 0.188869822196639 0.00247908672162157 3.21927467608442e-06 -1.13022118455319e-05 -35.0170389528017 -7.93143328792212e-13 0.446610740736963 0.553389259263022 0.5 1 0.5 0.5 12 0.199999999888889 -182.863274589067 -137.846331131791 359381.366380463 359381.366380463
"V112" "LFP" 13 0.188645447907946 0.00251545716254934 3.15172211818835e-06 -1.00778529201762e-05 -34.0590125841336 -4.06119582407882e-12 0.445698439710686 0.554301560289298 0.5 1 0.5 0.5 13 0.209090908969697 -184.522788758642 -135.398580768955 403701.725859655 403701.725859655
"V113" "LFP" 14 0.18844483021958 0.00255082142683604 3.08508476256909e-06 -8.98454695175133e-06 -33.1079213362736 -2.23510099317537e-12 0.444942441050294 0.55505755894972 0.5 1 0.5 0.5 13 0.218181818050505 -186.198972620134 -132.935946691464 453487.850812858 453487.850812858
"V114" "LFP" 15 0.188267554446769 0.00258509407594554 3.01935709734372e-06 -8.00851265125857e-06 -32.1645305461166 2.39408493030169e-12 0.444345841805381 0.555654158194631 0.5 1 0.5 0.5 13 0.227272727131313 -187.89131203919 -130.459953645104 509413.801481638 509413.801481638
"V115" "LFP" 16 0.188113177666286 0.00261819128885631 2.95453344281441e-06 -7.13732330837047e-06 -31.229570946298 2.70494737719673e-12 0.443911801576097 0.556088198423916 0.5 1 0.5 0.5 13 0.236363636212121 -189.599298311351 -127.97210907326 572236.765935022 572236.765935022
"V116" "LFP" 17 0.18798123133549 0.00265003120454556 2.89060792250757e-06 -6.35989434272233e-06 -30.3037366264368 4.08117983852208e-13 0.443643558214093 0.556356441785921 0.5 1 0.5 0.5 14 0.245454545292929 -191.322430188157 -125.473898362579 642807.311728432 642807.311728432
"V117" "LFP" 18 0.187871223894322 0.00268053425047268 2.82757444381603e-06 -5.66620741437873e-06 -29.3876834886808 4.68647343154771e-12 0.443544443203092 0.556455556796908 0.5 1 0.5 0.5 14 0.254545454373737 -193.060215403459 -122.966780951476 722080.901838547 722080.901838547
