"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"V1" "Aarest_data" 1 0.999017037921308 78.63010225405 0.0257945370967445 1.04643302026704 2.24265731747396e-152 10.1633225808883 -0.000128816009642208 -3.73034936274053e-14 -5.94417794213001e+136 0.617934173608253 0.126534389502227 0.25553143688952 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 89 1 -216.916289722406 -144.032991222904 -6.03956703050222 -21.4595443757551 100 100 100
"V11" "Aarest_data" 2 0.99918354180041 78.6198866240819 0.0257768667979667 1.04636044020368 2.34689252376172e-152 10.1602161228679 -0.000106959389448491 -2.63122856836162e-14 -2.28272786849089e+136 0.617906135336318 0.126559450474163 0.255534414189518 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 19 1 -216.913751429003 -144.025827432777 -6.04120212684543 -21.4604163102233 120.450354025878 120.450354025878 120.450354025878
"V12" "Aarest_data" 3 0.999321895826011 78.611405733942 0.0257621931654361 1.04630013287367 2.43709824551055e-152 10.1576354825479 -8.88092676518681e-05 -1.50546242139171e-13 8.49719896121833e+136 0.617882848813214 0.126580265777165 0.255536885409621 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 19 1 -216.911642702947 -144.01987708687 -6.04256051199562 -21.4611402885985 145.082877849594 145.082877849594 145.082877849594
"V13" "Aarest_data" 4 0.999436842319605 78.6043649617127 0.0257500084854246 1.04625003029648 2.51461471815043e-152 10.1554918796713 -7.37377035875397e-05 -2.20268248085631e-13 -5.77836785815007e+136 0.617863509981372 0.126597553364825 0.255538936653803 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 19 1 -216.909891042013 -144.014935048508 -6.04368888579069 -21.4617414050213 174.752840000768 174.752840000768 174.752840000768
"V14" "Aarest_data" 5 0.999532329889943 78.5985197351775 0.0257398909135931 1.04620841053843 2.58083840766713e-152 10.1537114569269 -6.12229482968019e-05 -1.95732319241415e-13 -2.93006860731667e+136 0.61784745043758 0.126611910210147 0.255540639352272 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 19 1 -216.908436120234 -144.01083073143 -6.04462610839145 -21.4622405015242 210.490414451202 210.490414451202 210.490414451202
"V15" "Aarest_data" 6 0.999611644670222 78.5936670268895 0.0257314899985025 1.04617384085959 2.63714033456871e-152 10.1522327881673 -5.08315460692188e-05 8.8928864272475e-14 3.72050571998814e+136 0.617834114704763 0.12662383252698 0.255542052768257 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 18 1 -216.907227761702 -144.007422326687 -6.04540450003359 -21.4626548869568 253.536449397011 253.536449397011 253.536449397011
"V16" "Aarest_data" 7 0.999677520305534 78.5896382924729 0.0257245146331468 1.04614512907665 2.68481435501445e-152 10.1510048087672 -4.22034337930199e-05 -2.1094237467878e-14 -1.7966544716182e+136 0.617823041176317 0.126633732745769 0.255543226077914 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 18 1 -216.906224246195 -144.004591964017 -6.04605093915479 -21.4629989356507 305.385550883342 305.385550883342 305.385550883342
"V17" "Aarest_data" 8 0.999732230138875 78.5862936145919 0.0257187230237299 1.04612128425733 2.72504769003922e-152 10.1499850669108 -3.50395426238492e-05 1.14352971536391e-14 4.97657389041148e+136 0.617813846388828 0.126641953523361 0.255544200087811 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 18 1 -216.905390892392 -144.00224170358 -6.04658776455554 -21.4632845836161 367.837977182864 367.837977182864 367.837977182864
"V18" "Aarest_data" 9 0.999777664100301 78.5835168374228 0.0257139143582992 1.04610148250258 2.75890737586841e-152 10.1491382859586 -2.90914850324953e-05 1.2179146580138e-13 -3.11177828839057e+135 0.61780621178639 0.126648779549245 0.255545008664365 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 18 1 -216.904698877626 -144.000290170741 -6.04703354301709 -21.4635217423487 443.062145758388 443.062145758388 443.062145758388
"V19" "Aarest_data" 10 0.999815393071792 78.5812115311486 0.0257099218644732 1.04608503903497 2.78733740895717e-152 10.1484351539087 -2.41529796483064e-05 2.08832950931992e-13 1.34578732545358e+136 0.617799872764537 0.12665444732054 0.255545679914922 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 18 1 -216.904124251435 -143.998669763182 -6.04740370277622 -21.4637186417268 533.669923120631 533.669923120631 533.669923120631
