"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"V1" "FRT_censord" 1 0.984440007585518 3.94301026618481 0.0462504569474785 0.00967332531192362 1.30218813092096e-10 0.632515775829095 -0.00339788145261366 7.77242853411408e-15 1.73598527908325e-06 0.109150705230194 0.359015798735838 0.531833496033969 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 1005 1 -154.802633168543 -13.5266262934463 -57.5144107512469 -55.4009076699835 100 100 100
"V11" "FRT_censord" 2 0.987061556825978 3.93633766001486 0.045964922461008 0.00966055172562027 1.353333230184e-10 0.633256282338836 -0.00282739134286203 -5.48823139712162e-16 -8.04662704467773e-07 0.109496067850912 0.358521231193429 0.531982700955659 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 427 1 -154.809188814232 -13.5580075720532 -57.4369352805044 -55.443007655223 120.450354025878 120.450354025878 120.450354025878
"V12" "FRT_censord" 3 0.989244004863221 3.93080305335713 0.0457284737219277 0.00964999815470246 1.39727661213055e-10 0.633848289104499 -0.00235178276299308 4.29387428391159e-15 -4.16859984397888e-06 0.109780052735799 0.358113248952351 0.532106698311851 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 416 1 -154.814509688595 -13.5836766101155 -57.3729861215878 -55.4779900279294 145.082877849594 145.082877849594 145.082877849594
"V13" "FRT_censord" 4 0.991060177813695 3.92621159415829 0.0455325802333914 0.00964127107057333 1.43481267953629e-10 0.63432461326321 -0.00195555498071087 3.80511594455513e-15 1.14999711513519e-05 0.110013953843752 0.357776318528581 0.532209727627666 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 406 1 -154.818844401625 -13.60472506131 -57.3201482731672 -55.5070539034136 174.752840000768 174.752840000768 174.752840000768
"V14" "FRT_censord" 5 0.992571011972632 3.92240201519259 0.045370223562808 0.00963404918555266 1.4667210924526e-10 0.634709905833901 -0.0016256525062488 -5.15950129842402e-15 2.7194619178772e-07 0.110206870790265 0.35749780554717 0.532295323662564 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 396 1 -154.822386869876 -13.6220208892174 -57.27645387765 -55.5311980387811 210.490414451202 210.490414451202 210.490414451202
"V15" "FRT_censord" 6 0.993827452891134 3.91924080447691 0.0452356204142345 0.00962806941186617 1.49373701126628e-10 0.635022946627789 -0.00135110678485972 -1.0998580518562e-14 -6.87688589096069e-06 0.110366166687127 0.357267404540332 0.532366428772541 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 387 1 -154.825289544286 -13.6362580147699 -57.2402953859116 -55.5512534055694 253.536449397011 253.536449397011 253.536449397011
"V16" "FRT_censord" 7 0.994872056370331 3.91661737004212 0.0451239984809062 0.00962311577025697 1.51653455988682e-10 0.635278221424612 -0.00112272154537862 4.99708781298569e-15 5.92321157455444e-07 0.110497824831684 0.357076684249516 0.5324254909188 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 379 1 -154.827673227999 -13.6479944170448 -57.2103559379491 -55.5679111300494 305.385550883342 305.385550883342 305.385550883342
"V17" "FRT_censord" 8 0.995740340351006 3.91444006601741 0.0450314152357388 0.00961901059142449 1.53571928222444e-10 0.635487026235321 -0.000932799501541126 -6.86972180530265e-15 -2.08988785743713e-06 0.110606724689418 0.35691872934374 0.532474545966842 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 370 1 -154.829634313784 -13.657681010773 -57.1855542948736 -55.5817458660537 367.837977182864 367.837977182864 367.837977182864
"V18" "FRT_censord" 9 0.996461926118765 3.91263291490871 0.0449546105217324 0.0096156074715298 1.55182671332135e-10 0.635658253457489 -0.000774907028677774 4.69112595991028e-15 3.23355197906494e-06 0.11069685813411 0.356787854983177 0.532515286882713 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 362 1 -154.831250203118 -13.6656838477761 -57.1650008156544 -55.5932353761923 443.062145758388 443.062145758388 443.062145758388
"V19" "FRT_censord" 10 0.997061500414046 3.9111329154328 0.0448908865891458 0.00961278561304664 1.56532470911123e-10 0.635798961072458 -0.000643672918890559 1.15294059022109e-15 4.20957803726196e-06 0.110771498627522 0.356679380450005 0.532549120922473 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 355 1 -154.832583359076 -13.6723011104679 -57.1479624524377 -55.6027767443348 533.669923120631 533.669923120631 533.669923120631
"V110" "FRT_censord" 11 0.997559625196226 3.90988781507494 0.0448380097643865 0.00961044523758753 1.57661809907773e-10 0.635914790678568 -0.000534617222655243 -3.56117045574589e-15 7.45058059692383e-08 0.110833336068027 0.356589446337182 0.532577217594791 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 347 1 -154.8336844139 -13.6777764410338 -57.133834407129 -55.6106999390049 642.807311728433 642.807311728433 642.807311728433
"V111" "FRT_censord" 12 0.997973418097857 3.90885426326274 0.0447941295786434 0.00960850384831995 1.58605456225486e-10 0.636010278792844 -0.000444006315255763 -1.05191463178889e-14 -7.82310962677002e-07 0.110884585244034 0.35651486580474 0.532600548951227 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 340 1 -154.834594584217 -13.6823095193298 -57.1221170163238 -55.6172791744347 774.263682681127 774.263682681127 774.263682681127
"V112" "FRT_censord" 13 0.998317123026638 3.907996295981 0.044757712614011 0.00960689319489278 1.59393081052492e-10 0.63608909223729 -0.000368730600357026 6.33781221948126e-15 6.04242086410522e-06 0.110927071664114 0.356453005880227 0.532619922455659 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 332 1 -154.835347509113 -13.6860642536264 -57.1123972796647 -55.622742231789 932.603346883221 932.603346883221 932.603346883221
"V113" "FRT_censord" 14 0.99860258827707 3.90728406726197 0.0447274875894275 0.00960555677122512 1.6004988684746e-10 0.636154207559777 -0.000306201617348734 -1.09909911033546e-14 -6.0349702835083e-06 0.110962302500042 0.356401688373842 0.532636009126116 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 325 1 -154.835970740118 -13.6891755376129 -57.1043334073738 -55.6272783722209 1123.32403297803 1123.32403297803 1123.32403297803
"V114" "FRT_censord" 15 0.998839666304669 3.90669281149636 0.0447024004278949 0.00960444777817299 1.60597189186045e-10 0.636208050016709 -0.000254265672118947 2.78293013633579e-15 -4.4703483581543e-08 0.110991522723453 0.356359111046057 0.53264936623049 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 318 1 -154.836486876352 -13.6917544708545 -57.0976425176649 -55.6310447758907 1353.04777457981 1353.04777457981 1353.04777457981
"V115" "FRT_censord" 16 0.999036547746315 3.90620197419968 0.0446815768786583 0.00960352743675012 1.61052959786222e-10 0.636252601699637 -0.000211131480462257 -1.18720137887163e-15 4.53740358352661e-06 0.111015761892295 0.356323781417978 0.532660456689726 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 311 1 -154.836914500527 -13.6938927192624 -57.0920902899835 -55.6341720016209 1629.75083462065 1629.75083462065 1629.75083462065
"V116" "FRT_censord" 17 0.999200040272065 3.90579449550582 0.0446642917238321 0.00960276360349912 1.61432309766853e-10 0.636289486741761 -0.00017530964432666 2.45897052719712e-15 1.92970037460327e-06 0.111035871932221 0.35629446308326 0.532669664984519 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 304 1 -154.837268915204 -13.6956659847348 -57.0874825668903 -55.6367684810964 1963.04065004027 1963.04065004027 1963.04065004027
"V117" "FRT_censord" 18 0.999335800904158 3.90545621539715 0.0446499432980358 0.00960212962813726 1.61747916852826e-10 0.636320038863838 -0.000145562092171758 -1.89670328054614e-15 2.86102294921875e-06 0.111052558178799 0.356270131394559 0.532677310426642 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 297 1 -154.837562739136 -13.6971368413028 -57.0836584162018 -55.6389242634219 2364.48941264541 2364.48941264541 2364.48941264541
"V118" "FRT_censord" 19 0.999448529902877 3.90517538020897 0.0446380323679957 0.00960160340932839 1.62010398011331e-10 0.636345355298619 -0.000120859888120606 -5.21522929008977e-15 -5.09247183799744e-06 0.111066404879015 0.356249936931251 0.532683658189734 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 290 1 -154.837806389555 -13.6983570497813 -57.0804844077923 -55.6407141281508 2848.0358684358 2848.0358684358 2848.0358684358
"V119" "FRT_censord" 20 0.999542132014478 3.90494223340399 0.0446281446582802 0.00960116661494602 1.62228631090247e-10 0.636366340100029 -0.000100348055447341 -6.89400793396633e-15 -9.20146703720093e-07 0.111077896165734 0.356233175356004 0.532688928478262 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 283 1 -154.838008474501 -13.6993694528868 -57.0778498884521 -55.6422001718085 3430.46928631492 3430.46928631492 3430.46928631492
"V120" "FRT_censord" 21 0.999619850766567 3.90474867599962 0.0446199363649011 0.00960080403686382 1.62410030539107e-10 0.636383739102147 -8.33162698228307e-05 -9.20465960396744e-15 1.17085874080658e-05 0.11108743334252 0.35621926251112 0.532693304146361 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 276 1 -154.838176112642 -13.7002095299466 -57.0756630763335 -55.6434339572109 4132.01240011534 4132.01240011534 4132.01240011534
"V121" "FRT_censord" 22 0.999684380191156 3.90458798481124 0.0446131221486362 0.00960050305696545 1.62560782317707e-10 0.636398168262785 -6.91744575505027e-05 1.45517278782314e-14 1.66893005371094e-06 0.111095349143722 0.356207713828203 0.532696937028075 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 269 1 -154.838315194844 -13.7009066749781 -57.0738478305665 -55.6444582990764 4977.02356433211 4977.02356433211 4977.02356433211
"V122" "FRT_censord" 23 0.99973795775393 3.90445457863216 0.0446074651792625 0.00960025320491359 1.62686043097427e-10 0.636410136729642 -5.74324876509991e-05 9.38290244112405e-15 7.43567943572998e-06 0.111101919512084 0.356198127291701 0.532699953196215 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 262 1 -154.838430598599 -13.7014852490399 -57.0723409775642 -55.6453087473543 5994.84250318942 5994.84250318942 5994.84250318942
"V123" "FRT_censord" 24 0.999782441646664 3.90434382416688 0.0446027688768395 0.00960004579169236 1.62790108549497e-10 0.636420065671532 -4.76832784030989e-05 -3.9415085778538e-15 2.15321779251099e-06 0.111107373335151 0.356190169334253 0.532702457330596 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 255 1 -154.838526364143 -13.7019654478723 -57.0710900968619 -55.6460148193676 7220.80901838547 7220.80901838547 7220.80901838547
"V124" "FRT_censord" 25 0.999819374896354 3.90425187505759 0.0445988700737743 0.00959987360633864 1.62876554974469e-10 0.636428303695821 -3.95887486703828e-05 -9.50042995662148e-15 -3.80352139472961e-06 0.111111900495455 0.356183563157562 0.532704536346983 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 248 1 -154.838605839613 -13.7023640183944 -57.0700516871836 -55.6466010228663 8697.49002617783 8697.49002617783 8697.49002617783
"V125" "FRT_censord" 26 0.999850038875076 3.9041755371649 0.0445956332953058 0.00959973066264228 1.62948359322647e-10 0.636435139465695 -3.28681384615948e-05 -4.43590476850719e-15 9.00030136108398e-06 0.111115658647908 0.356178078888829 0.532706262463264 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 242 1 -154.838671803571 -13.7026948654604 -57.0691896202088 -55.6470877168139 10476.1575278967 10476.1575278967 10476.1575278967
"V126" "FRT_censord" 27 0.999875497595529 3.90411216145879 0.0445929461561423 0.0095996119952285 1.63007995327261e-10 0.636440812219432 -2.72883013394676e-05 -4.03540048599105e-16 6.9737434387207e-06 0.111118778310268 0.356173526200437 0.532707695489295 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 235 1 -154.838726550597 -13.702969480642 -57.0684739829834 -55.6474917745869 12618.5688306602 12618.5688306602 12618.5688306602
"V127" "FRT_censord" 28 0.99989663446393 3.90405954627783 0.0445907152995686 0.00959951347979554 1.63057522352472e-10 0.636445520154274 -2.26556375295672e-05 1.00631308841415e-14 1.9371509552002e-07 0.111121368076003 0.356169746699261 0.532708885224737 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 228 1 -154.838771992467 -13.703197438319 -57.0678798797158 -55.6478272334078 15199.1108295293 15199.1108295293 15199.1108295293
"V128" "FRT_censord" 29 0.999914183151383 3.90401586449167 0.0445888632333394 0.00959943169330263 1.63098651746735e-10 0.636449427602837 -1.88093911006604e-05 -2.27834244526104e-15 1.35600566864014e-06 0.111123517985779 0.356166609042874 0.532709872971347 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 221 1 -154.838809711996 -13.7033866699467 -57.0673866663743 -55.6481057393187 18307.3828029537 18307.3828029537 18307.3828029537
"V129" "FRT_censord" 30 0.999928752669319 3.90397959932906 0.0445873256406447 0.00959936379477677 1.63132805764629e-10 0.636452670835791 -1.56160818320927e-05 8.88395260134622e-16 5.21540641784668e-08 0.111125302766239 0.356164004213176 0.532710693020585 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 214 1 -154.838841022549 -13.7035437575377 -57.0669772073487 -55.6483369610362 22051.3073990305 22051.3073990305 22051.3073990305
"V130" "FRT_censord" 31 0.999940848748911 3.90394949151314 0.0445860491209762 0.00959930742562771 1.63161166314698e-10 0.6364553628741 -1.29648797724258e-05 -3.76781938982163e-15 -6.07222318649292e-07 0.111126784443802 0.356161841713853 0.532711373842346 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 207 1 -154.838867013712 -13.7036741632909 -57.0666372781499 -55.6485289260959 26560.8778294668 26560.8778294668 26560.8778294668
"V131" "FRT_censord" 32 0.999950891271382 3.90392449464316 0.0445849893174479 0.00959926062678844 1.63184716279e-10 0.636457597442433 -1.07637635053948e-05 9.20596064657442e-15 -6.39632344245911e-06 0.111128014610359 0.356160046262705 0.532711939126936 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 201 1 -154.838888592916 -13.7037824357817 -57.066355045115 -55.6486883098601 31992.6713779739 31992.6713779739 31992.6713779739
"V132" "FRT_censord" 33 0.999959228849649 3.90390374268338 0.0445841094801888 0.00959922177521472 1.63204269619899e-10 0.636459452384186 -8.9363293014344e-06 1.3536047283047e-14 1.86264514923096e-08 0.111129035788388 0.356158555819346 0.532712408392266 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 194 1 -154.838906503966 -13.7038723073901 -57.066120757118 -55.6488206244338 38535.2859371054 38535.2859371054 38535.2859371054
"V133" "FRT_censord" 34 0.99996615090634 3.90388651413702 0.0445833790316472 0.00959918952050349 1.63220504837309e-10 0.636460992210402 -7.41914148960632e-06 6.41609161633472e-15 -4.47407364845276e-06 0.111129883558526 0.356157318457801 0.532712797983673 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 187 1 -154.838921372834 -13.7039469162545 -57.0659262515828 -55.6489304741607 46415.8883361278 46415.8883361278 46415.8883361278
"V134" "FRT_censord" 35 0.999971897777719 3.90387221075909 0.0445827726042367 0.0095991627424002 1.6323398476666e-10 0.636462270477951 -6.15953182858675e-06 4.9960036108132e-16 -5.00306487083435e-06 0.111130587370803 0.35615629120137 0.532713121427827 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 180 1 -154.838933716321 -13.7040088547479 -57.0657647730453 -55.6490216731276 55908.1018251223 55908.1018251223 55908.1018251223
"V135" "FRT_censord" 36 0.999976668985656 3.90386033589476 0.0445822691393798 0.00959914051094824 1.63245176838046e-10 0.636463331633555 -5.11377232470522e-06 -9.64961617555549e-15 -3.67686152458191e-06 0.111131171671888 0.356155438373299 0.532713389954813 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 173 1 -154.838943963392 -13.7040602747407 -57.065630713466 -55.649097387813 67341.5065775083 67341.5065775083 67341.5065775083
"V136" "FRT_censord" 37 0.999980630130508 3.9038504762936 0.044581851132284 0.00959912205310703 1.6325447011177e-10 0.636464212536152 -4.24555792477577e-06 -6.82722108014122e-15 -4.90248203277588e-06 0.111131656862259 0.356154730195859 0.532713612941882 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 167 1 -154.838952473478 -13.704102977861 -57.065519391599 -55.6491602576505 81113.0830789688 81113.0830789688 81113.0830789688
"V137" "FRT_censord" 38 0.999983918759626 3.90384229151909 0.044581504119467 0.00959910673019 1.63262185155349e-10 0.636464943862389 -3.52474658882329e-06 -1.58581914960765e-14 8.38562846183777e-06 0.111132059576868 0.356154142399662 0.53271379802347 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 160 1 -154.838959535601 -13.7041384167101 -57.0654269933232 -55.649212444114 97700.9957299225 97700.9957299225 97700.9957299225
"V138" "FRT_censord" 39 0.999986649048012 3.90383549645006 0.044581216026021 0.00959909400898718 1.63268590526316e-10 0.636465550996352 -2.92631327170056e-06 2.67971408951517e-15 7.5213611125946e-06 0.111132393906138 0.356153654416 0.532713951677862 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 153 1 -154.838965398298 -13.7041678370395 -57.0653502849932 -55.6492557695291 117681.1952435 117681.1952435 117681.1952435
"V139" "FRT_censord" 40 0.999988915772468 3.90382985514706 0.0445809768496401 0.00959908344780181 1.6327390849035e-10 0.636466055032605 -2.42948128459375e-06 4.48079073844809e-15 -3.18512320518494e-06 0.111132671461515 0.356153249297575 0.53271407924091 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 146 1 -154.838970265293 -13.7041922609039 -57.0652866025965 -55.6492917383032 141747.416292681 141747.416292681 141747.416292681
"V140" "FRT_censord" 41 0.999990797681922 3.9038251707365 0.0445807782544926 0.00959907467858302 1.63278324545699e-10 0.636466473450778 -2.01700119362158e-06 2.78726694502573e-15 -3.95253300666809e-06 0.111132901991375 0.356152912813193 0.532714185195432 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 140 1 -154.838974308864 -13.7042125518002 -57.0652337087158 -55.6493216101613 170735.264747069 170735.264747069 170735.264747069
"V141" "FRT_censord" 42 0.99999236005162 3.90382128252666 0.0445806134035329 0.00959906739936731 1.63281990096666e-10 0.636466820846804 -1.6745519531014e-06 1.83744078979808e-14 -6.0349702835083e-06 0.111133093283795 0.35615263360275 0.532714273113455 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 133 1 -154.838977662986 -13.7042293840131 -57.0651898183701 -55.6493464007976 205651.230834865 205651.230834865 205651.230834865
"V142" "FRT_censord" 43 0.999993657183218 3.90381805361296 0.0445804765163525 0.00959906135495802 1.63285034174902e-10 0.636467109228004 -1.39024386669462e-06 -8.30390443906648e-15 4.58210706710815e-06 0.111133252192345 0.356152401656191 0.532714346151464 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 127 1 -154.838980450444 -13.7042433716251 -57.0651533572942 -55.649366991841 247707.635599172 247707.635599172 247707.635599172
"V143" "FRT_censord" 44 0.999994734081794 3.90381537377132 0.0445803628943765 0.00959905633784867 1.63287560648885e-10 0.636467348669782 -1.15420584023695e-06 -3.95408532305463e-15 8.01682472229004e-06 0.111133384024132 0.356152209234749 0.532714406741118 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 120 1 -154.838982761687 -13.7042549706868 -57.0651231097624 -55.6493840773553 298364.724028334 298364.724028334 298364.724028334
"V144" "FRT_censord" 45 0.9999956281319 3.90381314907739 0.044580268568621 0.00959905217278062 1.63289658051929e-10 0.636467547460393 -9.58242580395563e-07 6.89032164657988e-15 -2.83122062683105e-06 0.111133493455666 0.356152049508901 0.532714457035433 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 113 1 -154.838984680009 -13.7042645980157 -57.0650980018362 -55.6493982603655 359381.366380463 359381.366380463 359381.366380463
"V145" "FRT_censord" 46 0.99999637038278 3.9038113012885 0.044580190235829 0.00959904871390231 1.63291400141887e-10 0.636467712472216 -7.95550192833616e-07 4.14165229889463e-15 -4.76837158203125e-06 0.111133584398658 0.356151916765131 0.532714498836211 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 107 1 -154.838986275424 -13.7042726037255 -57.0650771349708 -55.6494100444062 432876.128108307 432876.128108307 432876.128108307
"V146" "FRT_censord" 47 0.999996986636728 3.90380976810394 0.0445801252253353 0.00959904584330251 1.63292845631281e-10 0.636467849494506 -6.60479990699514e-07 8.53483950180589e-16 -4.40329313278198e-06 0.111133659800646 0.356151806709745 0.53271453348961 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 100 1 -154.838987596834 -13.7042792358239 -57.0650598350421 -55.6494198177715 521400.828799969 521400.828799969 521400.828799969
"V147" "FRT_censord" 48 0.999997498257669 3.90380849450541 0.0445800712328535 0.00959904345921423 1.63294046397538e-10 0.636467963229061 -5.48342214301556e-07 -2.86402845883771e-15 -3.17394733428955e-06 0.111133722481946 0.356151715218 0.532714562300054 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 94 1 -154.838988696382 -13.7042847534466 -57.0650454528708 -55.6494279398624 628029.144183425 628029.144183425 628029.144183425
"V148" "FRT_censord" 49 0.999997923008678 3.90380743712802 0.0445800264074066 0.00959904147990135 1.63295043314366e-10 0.636468057652353 -4.5524340208658e-07 7.21298021311156e-15 2.83122062683105e-07 0.111133774522778 0.356151639257204 0.532714586220018 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 88 1 -154.838989609312 -13.7042893345532 -57.0650335120946 -55.6494346831508 756463.32755463 756463.32755463 756463.32755463
"V149" "FRT_censord" 50 0.999998275640832 3.9038065593338 0.0445799891944481 0.00959903983672332 1.63295870920758e-10 0.636468136045645 -3.77951053565084e-07 1.4812370080497e-15 1.24797224998474e-06 0.111133817721446 0.356151576202893 0.532714606075661 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 82 1 -154.838990367051 -13.7042931369642 -57.0650236001933 -55.6494402809113 911162.75611549 911162.75611549 911162.75611549
"V150" "FRT_censord" 51 0.999998568407389 3.90380583066684 0.0445799583018439 0.00959903847263186 1.63296557928702e-10 0.636468201131896 -3.1378156251094e-07 7.80213567364019e-15 3.9227306842804e-06 0.111133853574933 0.356151523870319 0.532714622554748 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 76 1 -154.838990995796 -13.7042962922305 -57.0650153737533 -55.649444927207 1097498.76549306 1097498.76549306 1097498.76549306
"V151" "FRT_censord" 52 0.999998811453071 3.90380522586763 0.044579932659526 0.0095990373403617 1.63297128151754e-10 0.636468255172344 -2.60506901383906e-07 -1.15380795195907e-14 -1.92224979400635e-06 0.111133883324475 0.356151480447472 0.532714636228053 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 70 1 -154.838991517319 -13.704298909516 -57.0650085479297 -55.6494487830181 1321941.14846603 1321941.14846603 1321941.14846603
