"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"V1" "RearDump" 1 0.846513666439727 19.0707767951436 2.21473362125738 0.49917038656946 1.31394113720255e-21 0.533392221280838 -0.00553379642356511 1.48372029689281e-15 -280576 0.419213835947645 0.543705190369362 0.0370809736829934 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 569 1 -234.32303802415 -6.61907452587354 -117.948901073195 -5.06024319790604 10 10 10
"V11" "RearDump" 2 0.847443243369121 19.0500977576328 2.21939435855203 0.499290104682027 1.38501635202303e-21 0.489742459181546 -0.00504796576921507 -4.3574381773724e-16 -292224 0.418819589952306 0.544097921432928 0.037082488614766 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 331 1 -234.271135468562 -6.51104707124982 -118.01739720627 -5.06051496519582 10.9749876549306 10.9749876549306 10.9749876549306
"V12" "RearDump" 3 0.848304244343615 19.0312424433764 2.22371354542736 0.49940115732434 1.45316779994967e-21 0.449423329021307 -0.00460432813068579 2.62538581979476e-15 -247936 0.418455806025481 0.54446030538792 0.0370838885865991 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 327 1 -234.223268785159 -6.41155618367109 -118.080500984215 -5.0607751234247 12.0450354025878 12.0450354025878 12.0450354025878
"V13" "RearDump" 4 0.849100865395997 19.0140510262625 2.227711759445 0.499504046440377 1.51822253419949e-21 0.412214028642875 -0.00419929601871161 2.58479578920409e-15 -354560 0.418120391908227 0.544794426870974 0.037085181220799 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 323 1 -234.179157291214 -6.31998628903241 -118.138598591405 -5.06102271894524 13.2194114846603 13.2194114846603 13.2194114846603
"V14" "RearDump" 5 0.849837158580496 18.9983775246893 2.23140891758164 0.499599262090467 1.58006696597538e-21 0.377904077447667 -0.00382957413516749 3.39994747511493e-15 -337408 0.417811367886317 0.545102258353267 0.0370863737604153 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 320 1 -234.138535846577 -6.23575944838943 -118.192052902039 -5.06125719097173 14.5082877849594 14.5082877849594 14.5082877849594
"V15" "RearDump" 6 0.850517021941978 18.9840886285571 2.23482421174048 0.499687279224937 1.63863981341106e-21 0.346293353814737 -0.00349213772882706 3.10804319259039e-15 -154880 0.417526865734096 0.545385661201329 0.0370874730645748 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 316 1 -234.101154506389 -6.15833397599241 -118.241204243188 -5.06147828797269 15.9228279334109 15.9228279334109 15.9228279334109
"V16" "RearDump" 7 0.851144193389602 18.9710626196165 2.23797609128251 0.499768557851456 1.69392499993577e-21 0.317192072502333 -0.00318421218626597 -1.0575638333273e-15 68224 0.417265121595421 0.545646392762281 0.0370884856422978 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 312 1 -234.066777794305 -6.08720207316931 -118.286371981925 -5.06168600410627 17.4752840000768 17.4752840000768 17.4752840000768
"V17" "RearDump" 8 0.851722244607257 18.9591883824383 2.24088221892257 0.499843540668811 1.74594474281808e-21 0.290420692951955 -0.00290325385366152 8.85598357342789e-17 -302272 0.417024474638445 0.545886107712847 0.0370894176487084 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 309 1 -234.035184332825 -6.02188857008971 -118.32785521448 -5.06188052188372 19.1791026167249 19.1791026167249 19.1791026167249
"V18" "RearDump" 9 0.852254576960393 18.9483644968136 2.24355943910644 0.499912651305997 1.79475302546318e-21 0.265809770763212 -0.00264693207169131 -7.65430216632295e-16 44672 0.416803365059135 0.546106360055881 0.0370902748849837 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 306 1 -234.006166429054 -5.96194962042682 -118.365933504445 -5.06206216532987 21.0490414451202 21.0490414451202 21.0490414451202
"V19" "RearDump" 10 0.852744420016582 18.9384984045144 2.24602377179502 0.499976294185072 1.84042957959351e-21 0.24319975883628 -0.00241311239295072 -3.09657002544071e-15 -133632 0.416600329320882 0.546308607863244 0.0370910628158743 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 302 1 -233.979529481631 -5.90697096708482 -118.400867982696 -5.06223136407377 23.1012970008316 23.1012970008316 23.1012970008316
"V110" "RearDump" 11 0.853194831895407 18.9295056453142 2.24829041849746 0.500034854968257 1.88307444582507e-21 0.222440761797817 -0.00219984094233538 2.77489009960045e-15 620288 0.416413994665469 0.546494218742712 0.0370917865918185 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 299 1 -233.955091335988 -5.85656613467405 -118.432902516098 -5.0623886250197 25.3536449397011 25.3536449397011 25.3536449397011
"V111" "RearDump" 12 0.853608699099021 18.921309159132 2.25037373911384 0.500088698354682 1.92280313276358e-21 0.203392246208402 -0.00200532987400237 -2.66388547895071e-15 -163968 0.416243079328828 0.546664469637157 0.0370924510340149 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 296 1 -233.9326819951 -5.81037568217551 -118.462264012934 -5.06253450415081 27.8255940220712 27.8255940220712 27.8255940220712
"V112" "RearDump" 13 0.853988739811362 18.9138386446801 2.2522872764884 0.50013816933608 1.95974239696483e-21 0.185922721845007 -0.00182794387503016 -2.40488270895461e-15 -66112 0.416086386157562 0.546820553180211 0.0370930606622268 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 293 1 -233.912142912059 -5.76806533166452 -118.489163660586 -5.06266958952537 30.5385550883342 30.5385550883342 30.5385550883342
"V113" "RearDump" 14 0.854337507213596 18.9070299734731 2.25404376641991 0.500183593026796 1.99402660678298e-21 0.169909393422518 -0.0016661876618862 -4.58315689358526e-15 -10752 0.415942799396319 0.546963580901516 0.0370936197021646 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 290 1 -233.893326481275 -5.7293247013118 -118.513797675132 -5.0627944851217 33.5160265093884 33.5160265093884 33.5160265093884
"V114" "RearDump" 15 0.854657393730515 18.9008246536156 2.25565515273431 0.50022527466195 2.02579466012666e-21 0.155237791638001 -0.00151869441511465 1.30973200035113e-15 -191872 0.415811281414116 0.547094586492457 0.0370941320934269 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 286 1 -233.876095526924 -5.69386606695629 -118.53634803651 -5.06290979801419 36.7837977182863 36.7837977182863 36.7837977182863
"V115" "RearDump" 16 0.854950637166363 18.8951693381382 2.25713262720883 0.500263501349657 2.05518741761649e-21 0.141801390786018 -0.00138421509692499 1.69281853261465e-15 138816 0.4156908661708 0.54721453231031 0.0370946015188897 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 283 1 -233.860322587634 -5.66142258499875 -118.55698367613 -5.06301613146722 40.3701725859656 40.3701725859656 40.3701725859656
"V116" "RearDump" 17 0.855219325206857 18.8900153776497 2.25848663164272 0.500298540703603 2.08234558350856e-21 0.129501213842186 -0.00126160859674584 -7.83928992683855e-18 204288 0.415580659160182 0.54732430944749 0.0370950313923281 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 280 1 -233.845889615689 -5.63174769615103 -118.575860703679 -5.06311407393201 44.3062145758388 44.3062145758388 44.3062145758388
"V117" "RearDump" 18 0.855465402623814 18.885318409137 2.25972690384746 0.500330642799482 2.10740800704759e-21 0.118245436172128 -0.0011498326511763 -1.40897662731943e-15 18752 0.415479830908606 0.547424744203094 0.0370954248883005 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 277 1 -233.832687274303 -5.60461342407767 -118.593123552981 -5.06320419623618 48.6260158006536 48.6260158006536 48.6260158006536
"V118" "RearDump" 19 0.855690677685168 18.8810379812445 2.26086250492849 0.500360040580426 2.13051033558805e-21 0.107948987542276 -0.00104793548608839 3.41337337084538e-16 120704 0.41538761377422 0.547516601274765 0.037095784951015 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 274 1 -233.820614451341 -5.57980929059556 -118.608905631807 -5.06328704708929 53.3669923120631 53.3669923120631 53.3669923120631
"V119" "RearDump" 20 0.855896828995464 18.8771372116643 2.26190185200541 0.500386950634647 2.15178397824502e-21 0.0985331581674096 -0.000955048130611758 -2.43849774086199e-16 -219584 0.415303298180743 0.547600587511918 0.0370961143073389 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 271 1 -233.809577746017 -5.55714116251713 -118.623330039017 -5.06336315043086 58.5702081805667 58.5702081805667 58.5702081805667
"V120" "RearDump" 21 0.856085412437818 18.8735824741571 2.26285275168455 0.500411574004635 2.17135533378098e-21 0.0899252117157161 -0.000870377355061791 -1.75462091518252e-15 144000 0.415226228954713 0.547677355565655 0.037096415479632 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 268 1 -233.799490971962 -5.53643014719361 -118.636510252979 -5.06343300374527 64.2807311728432 64.2807311728432 64.2807311728432
"V121" "RearDump" 22 0.856257868127114 18.8703431127026 2.26372243380231 0.500434097013376 2.18934524154554e-21 0.0820580079672126 -0.000793199187047122 -1.03345346400018e-15 2432 0.41515580178335 0.547747507418338 0.0370966907983122 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 265 1 -233.790274678567 -5.51751153855294 -118.648550789875 -5.06349707714492 70.5480231071864 70.5480231071864 70.5480231071864
"V122" "RearDump" 23 0.85641552729829 18.8673911804802 2.26451758503034 0.500454692095312 2.20586861848207e-21 0.0748696373034754 -0.000722852962676157 7.84394331409253e-16 21120 0.415091459806649 0.547811597779273 0.0370969424140779 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 262 1 -233.781855692086 -5.50023381481696 -118.65954783089 -5.06355581305735 77.4263682681128 77.4263682681128 77.4263682681128
"V123" "RearDump" 24 0.856559619194497 18.8647012015589 2.26524438264314 0.500473518637846 2.22103424950164e-21 0.0683030629102603 -0.000658735872018923 8.2930571233857e-16 -105600 0.415032690302685 0.547870137387458 0.0370971723098569 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 259 1 -233.774166670789 -5.48445767461413 -118.669589826559 -5.06360962640018 84.9753435908645 84.9753435908645 84.9753435908645
"V124" "RearDump" 25 0.856691277138185 18.8622499533943 2.26590852432385 0.500490723728767 2.23494470237093e-21 0.062305806894102 -0.000600297960676954 -1.17329987414129e-15 -208064 0.414979021782014 0.547923595906346 0.03709738231164 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 256 1 -233.767145715619 -5.47005519487532 -118.678758024852 -5.06365890501572 93.260334688322 93.260334688322 93.260334688322
"V125" "RearDump" 26 0.85681154566028 18.8600162682583 2.26651526340293 0.500506443043457 2.24769634285803e-21 0.0568295938930738 -0.00054703755171559 -5.58650521845325e-16 -224832 0.414930020724717 0.547972405175141 0.0370975741001421 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 253 1 -233.760735934912 -5.45690890179447 -118.687127055997 -5.06370401056939 102.353102189903 102.353102189903 102.353102189903
"V126" "RearDump" 27 0.856921386104109 18.8579808520927 2.26706943654224 0.500520801546047 2.25937942823716e-21 0.0518300691587683 -0.000498497054518765 1.88292470147227e-15 326208 0.414885288990385 0.548016961788985 0.0370977492206292 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 250 1 -233.75488509903 -5.44491103172453 -118.694765397222 -5.06374527944558 112.332403297803 112.332403297803 112.332403297803
"V127" "RearDump" 28 0.857021682596831 18.8561261191982 2.26757549335014 0.500533914240931 2.27007826167292e-21 0.0472665040821099 -0.000454259129542223 1.43592836866812e-15 98432 0.414844461130437 0.548057629776692 0.0370979090928709 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 247 1 -233.749545282967 -5.43396277254116 -118.701735850905 -5.06378302387606 123.284673944207 123.284673944207 123.284673944207
"V128" "RearDump" 29 0.857113247608138 18.8544360414208 2.26803752399811 0.500545886875787 2.27987139218091e-21 0.0431015241244772 -0.000413943180078036 1.97640950439924e-16 35776 0.414807201909416 0.548094743070161 0.0370980550204231 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 244 1 -233.744672537262 -5.42397356725846 -118.708095983843 -5.06381753313586 135.304777457981 135.304777457981 135.304777457981
"V129" "RearDump" 30 0.85719682721543 18.8528960105794 2.26845928542464 0.500556816610206 2.28883184759849e-21 0.0393008531769325 -0.000377202144333566 -2.33624815863418e-16 353280 0.414773203980987 0.548128607819642 0.0370981881993711 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 241 1 -233.740226579941 -5.41486046429107 -118.713898537472 -5.06384907478901 148.496826225447 148.496826225447 148.496826225447
"V130" "RearDump" 31 0.857273106072227 18.8514927129788 2.26884422610008 0.500566792648855 2.29702739022229e-21 0.0358330740295685 -0.000343719562955869 -1.82179782767984e-15 -79360 0.414742185714467 0.548159504558991 0.0370983097265412 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 238 1 -233.736170508794 -5.4065475124438 -118.719191810157 -5.06387789595417 162.975083462064 162.975083462064 162.975083462064
"V131" "RearDump" 32 0.857342712080787 18.8502140149625 2.26919550934842 0.500575896838777 2.30452078662713e-21 0.0326694045062794 -0.000313206899248186 2.03405655508612e-15 -403200 0.414713889166808 0.548187690226001 0.0370984206071911 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 235 1 -233.732470533254 -5.39896519858502 -118.724020012786 -5.06390422456672 178.864952905744 178.864952905744 178.864952905744
"V132" "RearDump" 33 0.857406221007089 18.8490488583085 2.26951603943822 0.500584204555511 2.31137008621302e-21 0.029783488782531 -0.000285401090851067 1.97575506556837e-15 -284928 0.414688077546499 0.548213400687076 0.0370985217664246 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 233 1 -233.729095683676 -5.39204981171415 -118.728423692809 -5.06392827125938 196.304065004027 196.304065004027 196.304065004027
"V133" "RearDump" 34 0.857464159643496 18.8479871659684 2.2698084653 0.500591783931943 2.31762889494622e-21 0.0271512029048253 -0.000260062313495624 3.42221004206761e-16 333504 0.414664536047958 0.548236849913065 0.0370986140389771 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 230 1 -233.726017745037 -5.38574341590544 -118.732439665075 -5.06395022801827 215.443469003188 215.443469003188 215.443469003188
"V134" "RearDump" 35 0.857517011030323 18.8470197539062 2.27007522480423 0.500598698294837 2.32334666020147e-21 0.0247504747750398 -0.000236971938884167 9.89299542283949e-16 -228736 0.41464306634271 0.548258235456498 0.0370986982007914 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 227 1 -233.723210794712 -5.3799927191561 -118.736101857544 -5.06397027317245 236.448941264541 236.448941264541 236.448941264541
"V135" "RearDump" 36 0.857565217080916 18.8461382528828 2.27031854584404 0.500605005328511 2.32856893655442e-21 0.022561116645182 -0.000215930670215414 6.07148981427146e-17 362752 0.414623487656004 0.548277737386075 0.0370987749579209 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 224 1 -233.720651168775 -5.37474911574053 -118.739441198602 -5.06398856996195 259.502421139974 259.502421139974 259.502421139974
"V136" "RearDump" 37 0.857609182118543 18.8453350360824 2.27054046708333 0.500610757824708 2.33333765016776e-21 0.0205646703632816 -0.000196756840214363 -3.16677497484534e-15 118400 0.414605634727351 0.548295520316548 0.0370988449561019 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 221 1 -233.71831723731 -5.36996819130159 -118.742485952286 -5.0640052682334 284.80358684358 284.80358684358 284.80358684358
"V137" "RearDump" 38 0.857649275940663 18.8446031533403 2.27074285333588 0.500616004079089 2.33769135191331e-21 0.0187442642626081 -0.000179284857743767 1.27737205951335e-15 371200 0.414589356521941 0.548311734692341 0.0370989087857174 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 218 1 -233.716189234954 -5.36560937134276 -118.745261941287 -5.06402050544423 312.571584968824 312.571584968824 312.571584968824
"V138" "RearDump" 39 0.857685836655679 18.8439362711813 2.27092740980938 0.500620788258578 2.34166545932795e-21 0.0170844810448187 -0.000163363790282034 -9.13812495420237e-16 -299008 0.414574515042246 0.548326517971372 0.0370989669863819 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 215 1 -233.714249104688 -5.36163559760553 -118.747792752328 -5.06403440760817 343.046928631492 343.046928631492 343.046928631492
"V139" "RearDump" 40 0.857719173305342 18.8433286181615 2.27109569528008 0.500625150741318 2.34529248655193e-21 0.0155712359558251 -0.000148856070511627 -2.32359454519339e-15 149440 0.414560984232858 0.548339995715968 0.0370990200511732 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 212 1 -233.712480353956 -5.35801303033561 -118.750099925182 -5.06404709018251 376.493580679247 376.493580679247 376.493580679247
"V140" "RearDump" 41 0.857749568285805 18.842774935043 2.2712491342618 0.500629128430832 2.34860226181366e-21 0.0141916645725253 -0.000135636316301202 -2.90396172125689e-15 -393088 0.414548648972295 0.548352282597171 0.0370990684305346 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 209 1 -233.710867922278 -5.35471077459722 -118.75220312647 -5.06405865889886 413.201240011534 413.201240011534 413.201240011534
"V141" "RearDump" 42 0.857777279580113 18.8422704293776 2.27138902823195 0.500632755045965 2.35162213226347e-21 0.0129340195424206 -0.000123590254311523 -2.21771119162187e-16 120768 0.414537404145685 0.548363483318448 0.037099112535867 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 206 1 -233.709398059535 -5.35170062888753 -118.754120309345 -5.06406921053727 453.487850812858 453.487850812858 453.487850812858
"V142" "RearDump" 43 0.857802542814574 18.8418107341112 2.27151656597595 0.500636061388168 2.35437715619317e-21 0.0117875756460712 -0.00011261373817284 -2.63831546009724e-15 -222720 0.414527153792578 0.548373693464586 0.037099152742836 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 203 1 -233.708058214159 -5.3489568543961 -118.7558678601 -5.06407883364734 497.702356433212 497.702356433212 497.702356433212
"V143" "RearDump" 44 0.857825573151045 18.8413918698523 2.27163283310955 0.500639075587616 2.35689028285719e-21 0.0107425425813901 -0.000102611853025181 1.83175332354627e-15 107264 0.414517810324374 0.548383000281216 0.0370991893944101 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 200 1 -233.706836930495 -5.34645596335041 -118.757460732682 -5.06408760921723 546.227721768435 546.227721768435 546.227721768435
"V144" "RearDump" 45 0.857846567026672 18.8410102104836 2.27173882083633 0.500641823329639 2.35918252022565e-21 0.00978998490072414 -9.34980989057976e-05 1.87157424822083e-15 -54144 0.414509293806185 0.548391483390162 0.037099222803653 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 197 1 -233.705723754643 -5.34417652498308 -118.758912572023 -5.06409561129402 599.484250318941 599.484250318941 599.484250318941
"V145" "RearDump" 46 0.857865703987661 18.8406624515903 2.27183543820804 0.500644328387957 2.36127309246705e-21 0.00892174858099182 -8.5193646091497e-05 -4.11694752419677e-16 -110464 0.414501530649755 0.548399216089721 0.0370992532605246 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 195 1 -233.704709106702 -5.34209887351627 -118.760235921009 -5.06410290819733 657.933224657569 657.933224657569 657.933224657569
"V146" "RearDump" 47 0.857883147215277 18.8403455828085 2.27192350268277 0.500646611517007 2.36317957944484e-21 0.00813039361051793 -7.76266561075545e-05 3.70256015991689e-15 254080 0.414494455600454 0.548406263382249 0.0370992810172974 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 192 1 -233.703784367191 -5.34020540169273 -118.761441948759 -5.06410956049333 722.080901838547 722.080901838547 722.080901838547
"V147" "RearDump" 48 0.857899046280904 18.8400568604249 2.27200377210957 0.500648692572441 2.36491805928149e-21 0.00740913239963348 -7.07316626282761e-05 -5.46879940252043e-16 199040 0.414488007304617 0.548412686379311 0.0370993063160713 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 189 1 -233.702941556724 -5.33847972831845 -118.762541107382 -5.0641156253114 792.482898353917 792.482898353917 792.482898353917
"V148" "RearDump" 49 0.857913537442746 18.8397937845592 2.27207693418385 0.50065058937849 2.36650322724061e-21 0.00675177319138953 -6.44490070502712e-05 1.40408352974138e-15 148480 0.414482130383324 0.548418540242794 0.0370993293738826 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 186 1 -233.702173434542 -5.33690701638522 -118.763542844992 -5.06412115424911 869.749002617784 869.749002617784 869.749002617784
"V149" "RearDump" 50 0.857926745009255 18.8395540773182 2.27214361631068 0.500652318196929 2.36794851194117e-21 0.00615266834887507 -5.87243239493773e-05 -1.99760470395927e-15 -270720 0.414476774327726 0.54842387528357 0.0370993503887039 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 183 1 -233.701473396851 -5.33547373537206 -118.764455777949 -5.06412619441969 954.548456661834 954.548456661834 954.548456661834
"V150" "RearDump" 51 0.857938782374976 18.8393356630902 2.27220439083218 0.500653893862843 2.36926618134135e-21 0.00560666701700896 -5.35080719767933e-05 2.37455956471762e-15 62464 0.414471893073776 0.548428737385116 0.0370993695411071 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 180 1 -233.700835421239 -5.33416754695747 -118.765287763614 -5.06413078883436 1047.61575278967 1047.61575278967 1047.61575278967
"V151" "RearDump" 52 0.857949752968318 18.8391366505884 2.27225977980559 0.500655329908341 2.37046744040607e-21 0.00510907182209408 -4.87551062420266e-05 -1.77728126998306e-15 86912 0.414467444614478 0.548433168389744 0.0370993869957784 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 177 1 -233.70025401591 -5.33297720076111 -118.766045966689 -5.06413497675264 1149.75699539774 1149.75699539774 1149.75699539774
"V152" "RearDump" 53 0.857959751118797 18.8389553164873 2.27231025937596 0.500656638675793 2.37156252100622e-21 0.00465559927809522 -4.44242885464519e-05 -1.29328452633958e-15 -166144 0.414463390645402 0.548437206451695 0.0370994029029027 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 174 1 -233.699724173291 -5.33189243907071 -118.766736919848 -5.06413879400411 1261.85688306602 1261.85688306602 1261.85688306602
"V153" "RearDump" 54 0.857968862850269 18.8387900905115 2.27235626377626 0.500657831421422 2.37256076459794e-21 0.00424234359418207 -4.04781321030612e-05 1.11225283320413e-15 -393152 0.414459696240691 0.548440886359878 0.0370994173994304 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 171 1 -233.699241327633 -5.33090390980123 -118.767366579127 -5.06414227328308 1384.88637139387 1384.88637139387 1384.88637139387
