"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"V1" "SerumReversal" 1 0.564987825809724 41.4132019010178 0.043093935749219 0.00204905174354156 5.98090187774429e-107 0.00528836589501225 -0.000247443892824606 -6.93889390390723e-14 -6.18471176799211e+90 0.893579676996483 1.77291588326717e-09 0.106420321230602 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 266 1 -564.633144465681 -496.45972584348 -7.98494745255194e-07 -18.0065807768162 100 100 100
"V11" "SerumReversal" 2 0.564991098274317 41.3981953978207 0.0430943273418613 0.00204912018548082 6.53346043678365e-107 0.00470802829681816 -0.000220360111800488 -4.71844785465692e-15 1.4024515266756e+90 0.893564110445233 1.6775455679483e-10 0.106435889387013 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 34 1 -564.63532553008 -496.453533864354 -7.55548180870789e-08 -18.0100569448347 112.332403297803 112.332403297803 112.332403297803
"V12" "SerumReversal" 3 0.564994010928111 41.384838729797 0.0430946757630452 0.00204918109336308 7.0680666329925e-107 0.00419135209193655 -0.000196232775294902 1.13742348872847e-13 -8.13024026882719e+90 0.893550256576369 1.70468981311767e-11 0.106449743406584 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 33 1 -564.637270749975 -496.448023050927 -7.67779798540996e-09 -18.0131511369469 126.185688306602 126.185688306602 126.185688306602
"V13" "SerumReversal" 4 0.564996603494391 41.3729502686231 0.0430949857402386 0.00204923529815059 7.58059481262801e-107 0.00373135880357722 -0.000174740816902386 -1.13187237360535e-13 -3.9586929618219e+89 0.893537927438934 1.73211166296664e-12 0.106462072559334 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 33 1 -564.639002627822 -496.443118743954 -7.8013595696039e-10 -18.0159053702083 141.747416292681 141.747416292681 141.747416292681
"V14" "SerumReversal" 5 0.564998911190708 41.3623684386096 0.0430952615297422 0.00204928353911164 8.0679727993362e-107 0.00332183387882878 -0.00015559769371265 2.73892020175026e-13 1.82617092409674e+90 0.893526954927526 1.75982844929354e-13 0.106473045072298 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 33 1 -564.640544271434 -496.438754081795 -7.92624509331837e-11 -18.0183570239745 159.228279334109 159.228279334109 159.228279334109
"V15" "SerumReversal" 6 0.565000965343243 41.3529494856166 0.0430955069171379 0.00204932647367578 8.52808841207382e-107 0.00295724328884717 -0.000138547745670792 2.37587727269783e-13 2.82678527575323e+90 0.893517189472461 1.92029516793974e-14 0.106482810527519 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 32 1 -564.641916556794 -496.434869567708 -8.64903397765572e-12 -18.0205393607242 178.864952905744 178.864952905744 178.864952905744
"V16" "SerumReversal" 7 0.56500279382819 41.344565500476 0.0430957252663761 0.0020493646865697 8.95967387914723e-107 0.00263265917953959 -0.000123362923918791 2.30926389122033e-14 -3.31217275448918e+90 0.893508498043004 2.09526026070735e-15 0.106491501956994 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 32 1 -564.643138097414 -496.431412283439 -9.43712639473729e-13 -18.0224819831036 200.923300256505 200.923300256505 200.923300256505
"V17" "SerumReversal" 8 0.565004421451962 41.337102669288 0.0430959195663023 0.0020493986978423 9.36218057911935e-107 0.00234369360828168 -0.000109839853738691 -1.86184401229639e-13 -6.88295359191145e+89 0.89350076232706 2.28603740689721e-16 0.10649923767294 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 32 1 -564.644225461038 -496.42833516574 -1.02964394491585e-13 -18.0242112347463 225.701971963392 225.701971963392 225.701971963392
"V18" "SerumReversal" 9 0.565005870291268 41.3304597127254 0.0430960924734399 0.00204942897010714 9.73565411833291e-107 0.00208643949810039 -9.7797200616867e-05 -5.09037256790634e-14 3.03168244915406e+90 0.893493877083157 2.49405922571092e-17 0.106506122916843 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 32 1 -564.645193393166 -496.425596350871 -1.12334259771544e-14 -18.0257505618318 253.536449397011 253.536449397011 253.536449397011
"V19" "SerumReversal" 10 0.565007159993588 41.324546502633 0.0430962463491335 0.00204945591489819 1.00806157208188e-106 0.00185741802448547 -8.70733099098686e-05 -3.15747428203395e-13 -5.66948489507157e+89 0.893487748693009 2.92246356144583e-18 0.106512251306991 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 31 1 -564.646055016986 -496.42315859875 -1.31630372018669e-15 -18.0271208314077 284.80358684358 284.80358684358 284.80358684358
