"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"V1" "RearDump" 1 0.600549968128947 1.00520070283703 0.794282355519194 0.967400327874179 0.554147646551548 0.0838301656463258 -19.2281702513572 -2.19962936753859e-15 3.7921055184853e-15 0.379568168103897 0.311371323960733 0.30906050793537 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 283 0.6 -317.806229191118 -73.8486835648842 -41.1764564842914 -62.7620683594621 10 10 10
"V11" "RearDump" 2 0.600810101507099 1.00466553875388 0.79462617178484 0.980597254871236 0.549096357757157 0.0748362863539143 -19.0806492549965 -7.1956329783518e-15 -8.3544282603043e-15 0.3797749019366 0.311312008313264 0.308913089750136 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 216 0.604040404030303 -317.589870505851 -73.8398647314773 -40.6286955949582 -63.1076831204448 11.2332403297803 11.2332403297803 11.2332403297803
"V12" "RearDump" 3 0.601059654958143 1.00418695944248 0.794958942409552 0.993418094131989 0.544370729397096 0.0667993395832553 -18.9274080339693 2.48585874107476e-15 8.2572837456496e-15 0.37998972674661 0.311258529330746 0.308751743922643 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 204 0.608080808060606 -317.375142265887 -73.8343410235511 -40.1041888630953 -63.4286248898471 12.6185688306602 12.6185688306602 12.6185688306602
"V13" "RearDump" 4 0.601301294194985 1.00375865437002 0.795288473249093 1.00594664014859 0.539901103992195 0.0596201237467611 -18.7694893417094 -4.0314973581701e-15 -2.18228213277882e-15 0.380210540145675 0.311211658481789 0.308577801372536 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 194 0.612121212090909 -317.161639292878 -73.8308064568699 -39.5989088814753 -63.729770705849 14.1747416292681 14.1747416292681 14.1747416292681
"V14" "RearDump" 5 0.601537177379955 1.00337511200792 0.795620444246075 1.01824437264834 0.535636939700583 0.0532089389790045 -18.6076533980769 -5.59274848654923e-15 -1.31908373113276e-14 0.380435680265326 0.311171988313309 0.308392331421365 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 186 0.616161616121212 -316.949046752926 -73.8282740168444 -39.1098901903285 -64.0147179069051 15.9228279334109 15.9228279334109 15.9228279334109
"V15" "RearDump" 6 0.601769077152408 1.00303148654642 0.795959003415425 1.03035727387446 0.531540790392661 0.047484922305749 -18.4424706984235 -3.64465402302727e-15 -1.5855372570428e-15 0.380663812816349 0.3111399824993 0.308196204684351 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 179 0.620202020151515 -316.737117011605 -73.8259895413416 -38.6348993980358 -64.2861741998344 17.8864952905743 17.8864952905743 17.8864952905743
"V16" "RearDump" 7 0.601998476240802 1.00272349759582 0.796307247917495 1.04232048579365 0.527584226635 0.0423753452133582 -18.2743820683425 4.87283824401885e-15 6.92154666914746e-15 0.38089384159038 0.311116020306028 0.307990138103592 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 173 0.624242424181818 -316.525651625576 -73.8233626183317 -38.1722147876 -64.5462269391606 20.0923300256505 20.0923300256505 20.0923300256505
"V17" "RearDump" 8 0.602226630793294 1.00244735187588 0.796667528730466 1.05416126947683 0.523745244710039 0.037814906315262 -18.1037369602079 2.11289319373975e-15 6.46704911844154e-15 0.38112485103542 0.311100423855753 0.307774725108827 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 168 0.628282828212121 -316.314489818249 -73.8199225496223 -37.7204855554028 -64.7965149984856 22.5701971963392 22.5701971963392 22.5701971963392
"V18" "RearDump" 9 0.602454615150182 1.00219967980315 0.797041656923507 1.06590098292737 0.520006537049676 0.0337450491921985 -17.9308189348726 3.37577188425087e-15 -4.36456426555765e-15 0.381356066878641 0.311093476140341 0.307550456981018 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 163 0.632323232242424 -316.103500606115 -73.8152883492302 -37.2786374666145 -65.038344293561 25.3536449397011 25.3536449397011 25.3536449397011
"V19" "RearDump" 10 0.602683357107647 1.00197748296663 0.797431067711065 1.07755650175755 0.516354251557911 0.0301133202861834 -17.7558633549633 1.23685783837146e-15 3.14331893846997e-15 0.381586825011457 0.311095436123854 0.307317738864689 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 160 0.636363636272727 -315.892576682353 -73.8091449453403 -36.8458058011004 -65.2727717712941 28.480358684358 28.480358684358 28.480358684358
