"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"V1" "SerumReversal" 1 0.521622559687735 1.00038424063693 0.0508446492881508 0.00332644047179874 0.00331896009752613 0.00173304581394973 -26.0253576507683 1.13686837721616e-13 0 0.330708101106148 0.334650391557476 0.334641507336376 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 15 0.2 -710.405197640246 -180.169141969629 -183.823197561654 -183.820537409241 100 100 100
"V11" "SerumReversal" 2 0.520376305051111 1.00034417715697 0.0514309808258207 0.00331714250153419 0.00331044089583384 0.00145355756376375 -25.8650252547845 0 0 0.33073847875239 0.334634997353111 0.334626523894499 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 12 0.208080808070707 -710.252106157151 -180.328144005524 -183.667308256674 -183.664280285135 112.332403297803 112.332403297803 112.332403297803
"V12" "SerumReversal" 3 0.519139747716765 1.00030833115155 0.0520241892372196 0.00330774862141415 0.00330174420563868 0.00121521449736406 -25.7023299027272 0 0 0.330784609117797 0.334611730409542 0.334603660472661 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 12 0.216161616141414 -710.095708137908 -180.496678031607 -183.504939644379 -183.501637685146 126.185688306602 126.185688306602 126.185688306602
"V13" "SerumReversal" 4 0.517913509951394 1.00027625573751 0.0526241591043929 0.0032982581556005 0.00329287792447119 0.00101231111375455 -25.5372156233634 0 0 0.330847225731357 0.334580224806395 0.334572549462248 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 12 0.224242424212121 -709.935924872808 -180.675131374386 -183.335866185537 -183.332369352743 141.747416292681 141.747416292681 141.747416292681
"V14" "SerumReversal" 5 0.516698217456744 1.00024755157188 0.0532307619872745 0.00328867040375761 0.00328384902455047 0.000839897500895859 -25.3696283226265 0 0 0.330927088364977 0.334540101325055 0.334532810309967 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 12 0.232323232282828 -709.772678562484 -180.86390568915 -183.159854939747 -183.156229623845 159.228279334109 159.228279334109 159.228279334109
"V15" "SerumReversal" 6 0.515494499797757 1.00022186181187 0.0538438556057733 0.00327898464086162 0.00327466364627811 0.000693678125657016 -25.1995155741337 0 0 0.331024983714789 0.334490967140942 0.334484049144269 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 12 0.240404040353535 -709.6058921559 -181.063417417064 -182.976665430996 -182.972967032037 178.864952905744 178.864952905744 178.864952905744
"V16" "SerumReversal" 7 0.514302990499373 1.00019886754855 0.0544632830743572 0.00326920011648845 0.00326532718276308 0.000569955364881025 -25.0268264242301 0 0 0.33114172641871 0.334432415333795 0.334425858247495 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 13 0.248484848424242 -709.435489195434 -181.27409842661 -182.786049407623 -182.782323850336 200.923300256505 200.923300256505 200.923300256505
"V17" "SerumReversal" 8 0.513124327465365 1.00017828378358 0.0550888720316241 0.00325931605467901 0.00325584435499517 0.000465511158637355 -24.8515112833522 0 0 0.331278158924529 0.334364024970933 0.334357816104538 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 13 0.25656565649495 -709.261393708168 -181.496396035963 -182.587750927441 -182.584035984197 225.701971963392 225.701971963392 225.701971963392
"V18" "SerumReversal" 9 0.511959152954045 1.00015985582027 0.0557204338247408 0.00324933165239059 0.00324621927805871 0.000377570322683596 -24.6735217399983 0 0 0.331435153557102 0.334285360089463 0.334279486353435 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 13 0.264646464565657 -709.083530057713 -181.730774225269 -182.38150582035 -182.377832264446 253.536449397011 253.536449397011 253.536449397011
"V19" "SerumReversal" 10 0.510808113543313 1.00014335601755 0.0563577627042444 0.00323924607883543 0.00323645552161088 0.000303736463337145 -24.4928104921926 -1.13686837721616e-13 1.81898940354586e-12 0.331613612557025 0.334195969689856 0.334190417753119 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 13 0.272727272636364 -708.901822853806 -181.977713758261 -182.167041721167 -182.163434332379 284.80358684358 284.80358684358 284.80358684358
