"filename" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase"
"RearDump" 0.600549968128947 1.00520070283703 0.794282355519194 0.967400327874179 0.554147646551548 0.08383016564634 -19.2281702513572 -9.01362318117549e-15 5.85989590184965e-15 0.379568168103897 0.311371323960733 0.30906050793537 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.6 -317.806229191118 -73.8486835648842 -41.1764564842914 -62.7620683594621 10
"RearDump" 0.601740314141996 1.00000517882536 0.79576944399246 0.982544939211488 0.547850625641953 8.39763790096981e-05 -19.0975886043021 -3.80424858281714e-15 -4.62130334000221e-15 0.379037150984511 0.311238858328564 0.309723990686926 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.604040404030303 -317.607320674681 -73.5334478679228 -40.5400991466939 -63.500801162172 10110.9090909091
"RearDump" 0.601881244137443 1.00000261237007 0.7959220472963 0.994706639456115 0.543613874633164 4.20721660532308e-05 -18.9391255731214 -1.71911096469302e-15 3.93088339656344e-15 0.379335265852376 0.311183811963415 0.309480922184209 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.608080808060606 -317.394448825387 -73.5676655654234 -40.0429305798208 -63.7585798935067 20211.8181818182
"RearDump" 0.60202774372413 1.00000175685647 0.796102579190513 1.00674505662485 0.539499134478447 2.80965606194172e-05 -18.777541126277 6.08714467720262e-15 3.36883299034696e-15 0.379629131975394 0.311136913144856 0.309233954879749 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.612121212090909 -317.182014106215 -73.5981202974556 -39.5578013556529 -64.008469887288 30312.7272727273
"RearDump" 0.602180195198043 1.0000013293743 0.796310531688874 1.01867769545033 0.535492373457113 2.11083773322684e-05 -18.6131272282159 2.57432963834958e-15 -1.33434929772136e-14 0.379918496450659 0.311098269415946 0.308983234133395 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.616161616121212 -316.969915490154 -73.6247928752478 -39.0836823832788 -64.2514112578028 40413.6363636364
"RearDump" 0.602338782144108 1.00000107318735 0.796545320302951 1.03051938975678 0.531581662958515 1.69160270999669e-05 -18.4461352562116 -1.09634523681734e-15 -5.908468159177e-15 0.38020325097748 0.311068025241693 0.308728723780827 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.620202020151515 -316.758055669109 -73.6477112787643 -38.6197000681529 -64.4881490222598 50514.5454545454
"RearDump" 0.602503642408415 1.0000009026521 0.796806352525512 1.04228254973779 0.527756969938054 1.41218457940795e-05 -18.276783686163 3.79557496543725e-15 -1.31943067582796e-14 0.380483320743324 0.311046330476788 0.308470348779887 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.624242424181818 -316.546347782418 -73.6669137408271 -38.1651133160234 -64.7192968926937 60615.4545454545
"RearDump" 0.602674895282521 1.00000078104509 0.797093075833628 1.05397760329328 0.524009742777321 1.21267191772745e-05 -18.1052651551686 5.33774413558064e-15 -7.92421683826205e-15 0.380758642882931 0.31103334064943 0.308208016467639 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.628282828212121 -316.33471491711 -73.6824383748677 -37.7192888947893 -64.9453712480597 70716.3636363636
"RearDump" 0.602852646886553 1.00000069005892 0.797404981251588 1.06561324845946 0.52033265801037 1.06310518148689e-05 -17.9317514238764 -2.29677388219329e-15 1.98799310346942e-15 0.381029162925518 0.311029215790018 0.307941621284464 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.632323232242424 -316.12308998237 -73.6943217965049 -37.2816855099809 -65.1668082363059 80817.2727272727
"RearDump" 0.603036992726035 1.00000061943849 0.797741610295007 1.07719667540145 0.516719400687197 9.46838594018118e-06 -17.7563973532333 1.90125692967058e-15 1.31700206296159e-14 0.381294833023014 0.311034120717924 0.307671046259061 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.636363636272727 -315.911415244447 -73.702597933147 -36.8518403579363 -65.3839779176049 90918.1818181818
