"beta1" "lambda1" "beta2" "lambda2" "beta3" "lambda3" "sumQfunc" "diffB_beta1" "diffB_beta3" "bp" "iter" "Beta1 at 1" "Q1" "Q2" "Q3" "pi1" "pi2" "pi3"
"0.624203750249319" "0.870394775467348" "1" "1.31508744982593" "1.61299069412118" "0.0486730673760176" "-262.623503097481" "2.20623519453511e-11" "7.86570808486431e-11" "bp" "1" "-31.035882178905" "-39.9037092007222" "-58.0075599943473" "-47.9831458324477" "0.23232097470307" "0.624137223477596" "0.143541801819333"
"0.628981751312549" "0.895283688881248" "1" "1.2904175260969" "1.57953815307678" "0.0525544773730954" "-264.812077812724" "1.24269348589223e-07" "1.84741111297626e-13" "bp" "2" "-31.7661238954241" "-39.49037281182" "-58.8370669024211" "-48.7476620515531" "0.237606483460005" "0.616971145037897" "0.145422371502098"
"0.628127236191339" "0.923446134345736" "1" "1.27609108350523" "1.56107034571633" "0.0546566067733173" "-266.06907122021" "1.27545973782617e-10" "1.9480309276787e-07" "bp" "3" "-32.808966142312" "-38.8771193666355" "-59.0359830846122" "-49.4570511015884" "0.242840279649116" "0.609917445150957" "0.147242275199927"
"0.626620415030027" "0.950884969476398" "1" "1.2648633289466" "1.55053581578852" "0.0559043264829157" "-267.006419738428" "1.27717925124671e-09" "2.16624798099474e-08" "bp" "4" "-33.9167304880132" "-38.257927012079" "-59.059355710834" "-50.0902646814058" "0.247921795661267" "0.60311052331892" "0.148967681019813"
"0.625589648814076" "0.97664875457627" "1" "1.25504432907873" "1.54382951979054" "0.0567134840890121" "-267.777783521024" "2.84167356312537e-10" "3.70274477745625e-09" "bp" "5" "-34.9317234249807" "-37.6690166899658" "-59.0199798062867" "-50.6603220511744" "0.252807510716013" "0.596630728084727" "0.15056176119926"
"0.625280868199003" "1.00054558816677" "1" "1.24609759613629" "1.53919230455463" "0.0572638828183454" "-268.438667477409" "2.22044604925031e-12" "8.59124327234895e-10" "bp" "6" "-35.8011438857747" "-37.1218230914654" "-58.9546029702072" "-51.1747451948261" "0.257487173261954" "0.590503491795014" "0.152009334943032"
"0.625664452981109" "1.02263501098466" "1" "1.2378027347372" "1.53587844185011" "0.0576366771399726" "-269.015771262013" "5.40723021913436e-12" "2.31835883823805e-10" "bp" "7" "-36.5184761374249" "-36.6196556218407" "-58.8770905036656" "-51.6385549520265" "0.261967993515761" "0.584720202729348" "0.153311803754891"
"0.626628723426084" "1.04307055358211" "1" "1.23003815177152" "1.53353829010773" "0.0578738232701702" "-269.524801861321" "2.21511697873211e-10" "5.71134251003969e-11" "bp" "8" "-37.0961170338808" "-36.1616648000741" "-58.7935624786674" "-52.0560029525077" "0.266264886733894" "0.579257101545626" "0.15447801172048"
"0.628050872294367" "1.06203324343839" "1" "1.22271495049037" "1.5319759641571" "0.0580014761855894" "-269.976545368766" "1.04750341733961e-09" "1.18305365504057e-11" "bp" "9" "-37.5526855765168" "-35.7448271497098" "-58.7074465720031" "-52.4310941241114" "0.270395106520993" "0.574085442204572" "0.155519451274435"
"0.629821456968366" "1.07970187779196" "1" "1.21575748442127" "1.5310585232993" "0.0580388141846438" "-270.379205937854" "2.50511078547788e-09" "1.3997691894474e-12" "bp" "10" "-37.9073760438942" "-35.3651440885826" "-58.6211748220413" "-52.7676608801707" "0.274375565058083" "0.569176399841164" "0.156448035100753"
"0.631850565867191" "1.09624066051776" "1" "1.20909864476831" "1.53068274255188" "0.0580012883672888" "-270.739378751918" "4.28769197924339e-09" "1.01889260406551e-06" "bp" "11" "-38.17766895093" "-35.0183430623336" "-58.536714400886" "-53.0693205103645" "0.278221665138809" "0.564503220821458" "0.157275114039733"
"0.634067143749671" "1.11179516233165" "1" "1.20267918805515" "1.53076344614862" "0.0579017842761341" "-271.062503638466" "6.05135141995561e-09" "4.71971475235478e-08" "bp" "12" "-38.378603158493" "-34.7002600343959" "-58.4557151848853" "-53.3394268499774" "0.281946921566271" "0.560041990140823" "0.158011088292906"
