"filename" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase"
"SerumReversal" 0.483973597991224 1.00696665374108 0.0815854731386994 0.00274247720150293 0.00261843123248798 -0.0128343073603787 -14.3540936067579 5.68017854973846e-14 4.46531700504238e-13 0.373297795840424 0.314013567384628 0.312688636774949 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.6 -697.196762321658 -211.564611961805 -162.290299908969 -161.269568094826 10
"SerumReversal" 0.483965728308448 1.0000069174753 0.0816099011658684 0.00272986686333951 0.0027297412821913 -1.26997848326482e-05 -14.2975616886478 -6.78623823802127e-15 5.50004486399303e-13 0.373709072897336 0.313146130560746 0.313144796541918 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.604040404030303 -697.053452005967 -211.8126233226 -161.590036598526 -161.589011197316 10110.9090909091
"SerumReversal" 0.483956800809716 1.00000349908761 0.0817963691225201 0.00272211077376893 0.002722047375589 -6.35658582837095e-06 -14.1396866557155 2.66037192275803e-14 4.11448652926083e-13 0.374925443775505 0.312537621071155 0.31253693515334 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.608080808060606 -696.843584741869 -212.573641463594 -161.120492648738 -161.119967140885 20211.8181818182
"SerumReversal" 0.483956952131283 1.00000235957864 0.0819761856055343 0.00271431471362574 0.00271427204757731 -4.23838756091754e-06 -13.9810743002356 1.58068003131007e-14 -3.71258579434652e-13 0.376168748700035 0.311915859668221 0.311915391631744 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.612121212090909 -696.63154964463 -213.349862816251 -160.643269716401 -160.642911803718 30312.7272727273
"SerumReversal" 0.483966198309897 1.00000179022941 0.0821491443411437 0.0027064772503484 0.0027064449456571 -3.17722049203439e-06 -13.8217610133172 -3.66373598126302e-15 -8.90398865749376e-13 0.377439317339922 0.311280521465218 0.31128016119486 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.616161616121212 -696.417327335528 -214.141454223043 -160.158186507347 -160.157911774861 40413.6363636364
"SerumReversal" 0.483984551031895 1.00000144902905 0.0823150721003762 0.00269859791691541 0.00269857182378616 -2.53898949154063e-06 -13.6617642460853 -3.26544347117874e-14 -7.66942065411058e-13 0.378737646449982 0.310631324684107 0.310631028865911 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.620202020151515 -696.200884320106 -214.948687666734 -159.665104129042 -159.66487918461 50514.5454545454
"SerumReversal" 0.484012019840296 1.00000122191891 0.0824738007526467 0.00269067640794783 0.00269065445126056 -2.11226014812382e-06 -13.5010986379071 -4.64905891561784e-15 -3.07309733216243e-13 0.380064272408457 0.309967990310661 0.309967737280882 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.624242424181818 -695.982183226125 -215.77185864071 -159.163889208553 -159.163697352359 60615.4545454545
"SerumReversal" 0.48404861281737 1.00000106006868 0.082625162951446 0.00268271246216868 0.00268269345502476 -1.80640086000494e-06 -13.3397783018384 5.45397060847108e-15 -1.27897692436818e-13 0.3814197560786 0.30929023327927 0.30929001064213 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.628282828212121 -695.761184061419 -216.611276117084 -158.654407032973 -158.654238710939 70716.3636363636
"SerumReversal" 0.484094336563074 1.00000093896415 0.0827689913691196 0.00267470583455158 0.00267468903594678 -1.57609031248285e-06 -13.1778174592597 -4.35901315043452e-14 1.72040159895914e-12 0.382804677669353 0.308597761158333 0.308597561172314 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.632323232242424 -695.537844491525 -217.467259247172 -158.136520356625 -158.136369603001 80817.2727272727
"SerumReversal" 0.484149196114676 1.0000008450732 0.0829051186350203 0.00266665628802776 0.00266664120312112 -1.39614795102716e-06 -13.0152306811121 1.88321580552042e-14 1.0893508317622e-12 0.384219634617813 0.307890273945699 0.307890091436488 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.636363636272727 -695.312119863231 -218.340135997824 -157.610089173309 -157.609952001964 90918.1818181818
