time    event
216     1
522     1
990     1
1368    1
4248    1
6354    1
10728   1
17046   1
23652   1
29862   1
35730   1
39276   1
48366   1
53262   1
58536   1
66546   1
68310   1
76734   1
80406   1
85842   1
95330   1
97578   1
107010  1
111492  1
116892  1
121662  1
129726  1
132588  1
139770  1
145314  1
149868  1
153054  1
162036  1
168666  1
174137  1
179169  1
183413  1
186045  1
189225  1
191921  1
193253  1
195282  1
197686  1
199193  1
199901  1
200671  1
201244  1
201739  1
202810  1
202978  1
