time	event
0.01	1
0.01	1
0.01	1
0.01	1
0.01	1
0.01	1
0.02	1
0.02	1
0.02	1
0.02	1
0.03	1
0.04	1
0.06	1
0.08	1
0.1	1
0.1	1
0.12	1
0.12	1
0.12	1
0.13	1
0.14	1
0.15	1
0.15	1
0.15	1
0.16	1
0.16	1
0.17	1
0.18	1
0.18	1
0.19	1
0.2	1
0.21	1
0.22	1
0.23	1
0.25	1
0.26	1
0.28	1
0.28	1
0.3	1
0.32	1
0.34	1
0.36	1
0.38	1
0.39	1
0.41	1
0.41	1
0.42	1
0.43	1
0.44	1
0.44	1
0.45	1
0.45	1
0.5	1
0.53	1
0.56	1
0.58	1
0.58	1
0.61	1
0.62	1
0.62	1
0.62	1
0.64	1
0.66	1
0.7	1
0.7	1
0.7	1
0.72	1
0.77	1
0.78	1
0.78	1
0.8	1
0.82	1
0.83	1
0.85	1
0.86	1
0.96	1
0.97	1
0.98	1
0.99	1
1.05	1
1.06	1
1.07	1
1.18	1
1.35	1
1.36	1
1.42	1
1.55	1
1.59	1
1.65	1
1.73	1
1.77	1
1.79	1
1.8	1
1.91	1
2.09	1
2.14	1
2.15	1
2.15	1
2.31	1
2.33	1
2.36	1
2.36	1
2.43	1
2.45	1
2.5	1
2.51	1
2.58	1
2.64	1
2.68	1
3.08	1
3.94	1
4.12	1
4.33	1
4.42	1
4.53	1
4.88	1
4.97	1
5.11	1
5.32	1
5.55	1
6.63	1
6.89	1
7.62	1
11.41	1
11.76	1
11.85	1
12.36	1
13.22	1
